"id","name"
65,"Anthrax"
78,"Brucellosis"
50,"Campylobacteriosis"
25,"Chikungunya"
26,"Cholera"
81,"Crimean-Congo Hemorrhagic Fever"
83,"Crowdsourced Chikungunya"
85,"Crowdsourced Cholera"
82,"Crowdsourced Diseases"
86,"Crowdsourced Ebola"
79,"Lassa Fever"
80,"Leishmaniasis"
31,"Leptospirosis"
56,"Malaria"
64,"Marburg"
39,"Measles"
33,"Meningococcal Disease"
74,"Middle East Respiratory Syndrome (MERS-CoV)"
63,"Monkeypox"
67,"Mumps"
69,"Nipah"
48,"Norovirus"
30,"Novel Influenza A"
76,"Pertussis"
35,"Plague"
62,"Polio"
73,"Porcine Epidemic Diarrhea Virus (PEDV)"
36,"Q Fever"
66,"Rift Valley Fever"
75,"Rubella"
53,"Salmonellosis"
71,"Severe Acute Respiratory Syndrome (SARS)"
49,"Shiga Toxin-Producing E. Coli (STEC)"
51,"Shigellosis"
38,"Tularemia"
57,"West Nile Virus"
61,"Yellow Fever"
68,"Zika"
