"start","end","value","url","show_outbreak","id","disease","location","duration","analyst_id","location_fields.url","location_fields.id","location_fields.name","location_fields.full_name","location_fields.admin_level_name","location_fields.parent","location_fields.centroid","location_fields.centroid_lat_long.lat","location_fields.centroid_lat_long.long"
"2010-08-01T00:00:00","2010-08-08T00:00:00",1,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-08-08T00:00:00","2010-08-15T00:00:00",2,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-08-15T00:00:00","2010-08-22T00:00:00",11,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-08-22T00:00:00","2010-08-29T00:00:00",30,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-08-29T00:00:00","2010-09-05T00:00:00",27,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-09-05T00:00:00","2010-09-12T00:00:00",22,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-09-12T00:00:00","2010-09-19T00:00:00",23,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-09-19T00:00:00","2010-09-26T00:00:00",35,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-09-26T00:00:00","2010-10-03T00:00:00",20,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-10-03T00:00:00","2010-10-10T00:00:00",13,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-10-10T00:00:00","2010-10-17T00:00:00",4,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-10-17T00:00:00","2010-10-24T00:00:00",8,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-10-24T00:00:00","2010-10-31T00:00:00",3,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
"2010-10-31T00:00:00","2010-11-07T00:00:00",5,"http://aido.bsvgateway.org/api/outbreaks/1015/?format=json","http://aido.bsvgateway.org/search/?sort_by=date&disease=53&filter_analyst_id=Bean%20sprouts,%20UK%20(2010)",1015,"http://aido.bsvgateway.org/api/diseases/53/?format=json","http://aido.bsvgateway.org/api/locations/214138576/?format=json","P7D","Bean sprouts, UK (2010)","http://aido.bsvgateway.org/api/locations/214138576/?format=json",214138576,"United Kingdom","United Kingdom","Country","http://aido.bsvgateway.org/api/locations/216709393/?format=json","POINT (-2.886951483103692 54.1470481891977)",54.147,-2.887
