"","time","variable","value"
"1",0,"S",0.9
"2",1,"S",0.834156411432099
"3",2,"S",0.736332016242063
"4",3,"S",0.613012887986198
"5",4,"S",0.484734625208443
"6",5,"S",0.373406042539392
"7",6,"S",0.289032434311135
"8",7,"S",0.229989085823073
"9",8,"S",0.190093052594611
"10",9,"S",0.163339086962875
"11",10,"S",0.145292815686297
"12",11,"S",0.13298809192282
"13",12,"S",0.124502096486809
"14",13,"S",0.118590035944334
"15",14,"S",0.114436739283119
"16",15,"S",0.111499856778734
"17",16,"S",0.109412735667393
"18",17,"S",0.107923944518196
"19",18,"S",0.106859007819155
"20",19,"S",0.106095702241743
"21",20,"S",0.105547779357426
"22",21,"S",0.105154038173399
"23",22,"S",0.104870870528433
"24",23,"S",0.104667108304277
"25",24,"S",0.104520424371195
"26",25,"S",0.104414798421086
"27",26,"S",0.104338721662872
"28",27,"S",0.104283919123151
"29",28,"S",0.10424443723334
"30",29,"S",0.104215990644402
"31",30,"S",0.104195493766659
"32",31,"S",0.104180724347155
"33",32,"S",0.104170081636326
"34",33,"S",0.104162412427643
"35",34,"S",0.10415688585778
"36",35,"S",0.10415290326698
"37",36,"S",0.104150033284482
"38",37,"S",0.104147965071014
"39",38,"S",0.104146474635074
"40",39,"S",0.10414540056506
"41",40,"S",0.104144626543916
"42",41,"S",0.104144068750035
"43",42,"S",0.104143666778628
"44",43,"S",0.104143377099678
"45",44,"S",0.104143168343677
"46",45,"S",0.104143017904418
"47",46,"S",0.104142909490875
"48",47,"S",0.104142831363005
"49",48,"S",0.104142775060398
"50",49,"S",0.104142734486095
"51",50,"S",0.104142705246344
"52",0,"I",0.05
"53",1,"I",0.0860411643141497
"54",2,"I",0.134935204356888
"55",3,"I",0.18636471729948
"56",4,"I",0.222567361532049
"57",5,"I",0.231556964458954
"58",6,"I",0.215467552726871
"59",7,"I",0.184881905109996
"60",8,"I",0.150053550921948
"61",9,"I",0.117316636876968
"62",10,"I",0.0894463232325862
"63",11,"I",0.067045669122718
"64",12,"I",0.0496718156844097
"65",13,"I",0.0365036692788824
"66",14,"I",0.026675082913661
"67",15,"I",0.0194152630716647
"68",16,"I",0.0140913699601939
"69",17,"I",0.0102067897031542
"70",18,"I",0.00738245531842602
"71",19,"I",0.00533415315956161
"72",20,"I",0.00385131909540417
"73",21,"I",0.0027792220157381
"74",22,"I",0.00200480174819197
"75",23,"I",0.0014457744067805
"76",24,"I",0.0010424228432029
"77",25,"I",0.000751494133982614
"78",26,"I",0.000541704978560761
"79",27,"I",0.000390452355034502
"80",28,"I",0.000281416919363316
"81",29,"I",0.000202822320525528
"82",30,"I",0.000146173726336438
"83",31,"I",0.000105345081464495
"84",32,"I",7.59194393807448e-05
"85",33,"I",5.47125860182137e-05
"86",34,"I",3.94292271596146e-05
"87",35,"I",2.84149542402342e-05
"88",36,"I",2.04773607410863e-05
"89",37,"I",1.47570583124516e-05
"90",38,"I",1.0634687561243e-05
"91",39,"I",7.66388624186925e-06
"92",40,"I",5.52297289919416e-06
"93",41,"I",3.98012259081188e-06
"94",42,"I",2.86826815265131e-06
"95",43,"I",2.06701145580029e-06
"96",44,"I",1.48958707192011e-06
"97",45,"I",1.07346729487909e-06
"98",46,"I",7.73591478402329e-07
"99",47,"I",5.57486674663372e-07
"100",48,"I",4.01751282909557e-07
"101",49,"I",2.89520973053322e-07
"102",50,"I",2.08642496259724e-07
"103",0,"R",0.0499999999999999
"104",1,"R",0.0798024242537512
"105",2,"R",0.128732779401049
"106",3,"R",0.200622394714322
"107",4,"R",0.292698013259507
"108",5,"R",0.395036993001654
"109",6,"R",0.495500012961994
"110",7,"R",0.585129009066931
"111",8,"R",0.65985339648344
"112",9,"R",0.719344276160157
"113",10,"R",0.765260861081117
"114",11,"R",0.799966238954462
"115",12,"R",0.825826087828781
"116",13,"R",0.844906294776784
"117",14,"R",0.85888817780322
"118",15,"R",0.869084880149601
"119",16,"R",0.876495894372413
"120",17,"R",0.88186926577865
"121",18,"R",0.885758536862419
"122",19,"R",0.888570144598696
"123",20,"R",0.89060090154717
"124",21,"R",0.892066739810863
"125",22,"R",0.893124327723375
"126",23,"R",0.893887117288942
"127",24,"R",0.894437152785602
"128",25,"R",0.894833707444932
"129",26,"R",0.895119573358567
"130",27,"R",0.895325628521815
"131",28,"R",0.895474145847296
"132",29,"R",0.895581187035072
"133",30,"R",0.895658332507004
"134",31,"R",0.89571393057138
"135",32,"R",0.895753998924293
"136",33,"R",0.895782874986338
"137",34,"R",0.89580368491506
"138",35,"R",0.89581868177878
"139",36,"R",0.895829489354777
"140",37,"R",0.895837277870674
"141",38,"R",0.895842890677365
"142",39,"R",0.895846935548698
"143",40,"R",0.895849850483185
"144",41,"R",0.895851951127374
"145",42,"R",0.89585346495322
"146",43,"R",0.895854555888866
"147",44,"R",0.895855342069251
"148",45,"R",0.895855908628287
"149",46,"R",0.895856316917646
"150",47,"R",0.89585661115032
"151",48,"R",0.895856823188318
"152",49,"R",0.895856975992931
