"","time","variable","value"
"178",24,"incidence",1.74533927033149e-08
"179",25,"incidence",8.23775425651263e-09
"180",26,"incidence",3.88810353357805e-09
"181",27,"incidence",1.83512992302237e-09
"182",28,"incidence",8.66155397405421e-10
"183",29,"incidence",4.08813108365713e-10
"184",30,"incidence",1.92954013877866e-10
"185",31,"incidence",9.1071566954426e-11
"186",32,"incidence",4.29844909666244e-11
"187",33,"incidence",2.0288076774122e-11
"188",34,"incidence",9.57568746517978e-12
"189",35,"incidence",4.51959303315874e-12
"190",36,"incidence",2.13318251951478e-12
"191",37,"incidence",1.00683350545694e-12
"192",38,"incidence",4.7521708790299e-13
"193",39,"incidence",2.24292806549897e-13
"194",40,"incidence",1.05859765398009e-13
"195",41,"incidence",4.9960036108132e-14
"196",42,"incidence",2.35783614854768e-14
"197",43,"incidence",1.11299858218672e-14
"198",44,"incidence",5.25968157916168e-15
"199",45,"incidence",2.48412401759879e-15
"200",46,"incidence",1.16573417585641e-15
"201",47,"incidence",5.55111512312578e-16
"202",48,"incidence",2.63677968348475e-16
"203",49,"incidence",1.2490009027033e-16
"204",50,"incidence",5.55111512312578e-17
