"","time","variable","value"
"1",0,"S",0.9
"2",1,"S",0.708405886672917
"3",2,"S",0.433662237659038
"4",3,"S",0.254519421087594
"5",4,"S",0.175714147588583
"6",5,"S",0.143011637897955
"7",6,"S",0.128856117446391
"8",7,"S",0.122479737638012
"9",8,"S",0.119539571506909
"10",9,"S",0.118167439800973
"11",10,"S",0.117523296657809
"12",11,"S",0.117220047402033
"13",12,"S",0.117077091293863
"14",13,"S",0.117009656638825
"15",14,"S",0.116977837036311
"16",15,"S",0.116962820549804
"17",16,"S",0.116955733407213
"18",17,"S",0.116952388471123
"19",18,"S",0.116950809729722
"20",19,"S",0.116950064590799
"21",20,"S",0.116949712896803
"22",21,"S",0.116949546902439
"23",22,"S",0.116949468555496
"24",23,"S",0.116949431576857
"25",24,"S",0.116949414123464
"26",25,"S",0.11694940588571
"27",26,"S",0.116949401997607
"28",27,"S",0.116949400162477
"29",28,"S",0.116949399296321
"30",29,"S",0.116949398887508
"31",30,"S",0.116949398694554
"32",31,"S",0.116949398603483
"33",32,"S",0.116949398560498
"34",33,"S",0.11694939854021
"35",34,"S",0.116949398530634
"36",35,"S",0.116949398526115
"37",36,"S",0.116949398523982
"38",37,"S",0.116949398522975
"39",38,"S",0.1169493985225
"40",39,"S",0.116949398522275
"41",40,"S",0.116949398522169
"42",41,"S",0.116949398522119
"43",42,"S",0.116949398522096
"44",43,"S",0.116949398522085
"45",44,"S",0.116949398522079
"46",45,"S",0.116949398522077
"47",46,"S",0.116949398522076
"48",47,"S",0.116949398522075
"49",48,"S",0.116949398522075
"50",49,"S",0.116949398522075
"51",50,"S",0.116949398522075
"52",0,"I",0.05
"53",1,"I",0.143558135683828
"54",2,"I",0.2184260417734
"55",3,"I",0.17964704992672
"56",4,"I",0.107166834462207
"57",5,"I",0.0559583103936407
"58",6,"I",0.0276354976425524
"59",7,"I",0.013318121608767
"60",8,"I",0.00634728458503181
"61",9,"I",0.00300950308609695
"62",10,"I",0.00142349060270637
"63",11,"I",0.000672546527865268
"64",12,"I",0.000317583753218125
"65",13,"I",0.000149928750662946
"66",14,"I",7.07717612735392e-05
"67",15,"I",3.34049444322574e-05
"68",16,"I",1.576703458381e-05
"69",17,"I",7.44190063724332e-06
"70",18,"I",3.51249048183583e-06
"71",19,"I",1.65785001560488e-06
"72",20,"I",7.82482709138876e-07
"73",21,"I",3.6932099114309e-07
"74",22,"I",1.74314336966208e-07
"75",23,"I",8.22739151274145e-08
"76",24,"I",3.88321281395838e-08
"77",25,"I",1.83282165090941e-08
"78",26,"I",8.65065943138689e-09
"79",27,"I",4.08298909216684e-09
"80",28,"I",1.92711318774123e-09
"81",29,"I",9.09570206745553e-10
"82",30,"I",4.29304290825439e-10
"83",31,"I",2.02625561712216e-10
"84",32,"I",9.56364031993832e-11
"85",33,"I",4.51390315167294e-11
"86",34,"I",2.1304985319739e-11
"87",35,"I",1.00556521532461e-11
"88",36,"I",4.74612578740403e-12
"89",37,"I",2.24010433599827e-12
"90",38,"I",1.05729760670631e-12
"91",39,"I",4.99029536786188e-13
"92",40,"I",2.35534892924537e-13
"93",41,"I",1.11169142696922e-13
"94",42,"I",5.2470265167578e-14
"95",43,"I",2.47652240537793e-14
"96",44,"I",1.16888359621413e-14
"97",45,"I",5.51696547760473e-15
"98",46,"I",2.60392978220103e-15
"99",47,"I",1.22901807853569e-15
"100",48,"I",5.80079174059291e-16
"101",49,"I",2.73789176948658e-16
"102",50,"I",1.29224624441632e-16
"103",0,"R",0.0499999999999999
"104",1,"R",0.148035977643254
"105",2,"R",0.347911720567562
"106",3,"R",0.565833528985686
"107",4,"R",0.71711901794921
"108",5,"R",0.801030051708404
"109",6,"R",0.843508384911056
"110",7,"R",0.864202140753221
"111",8,"R",0.874113143908059
"112",9,"R",0.87882305711293
"113",10,"R",0.881053212739484
"114",11,"R",0.882107406070102
"115",12,"R",0.882605324952919
"116",13,"R",0.882840414610512
"117",14,"R",0.882951391202415
"118",15,"R",0.883003774505763
"119",16,"R",0.883028499558203
"120",17,"R",0.88304016962824
"121",18,"R",0.883045677779796
"122",19,"R",0.883048277559185
"123",20,"R",0.883049504620487
"124",21,"R",0.88305008377657
"125",22,"R",0.883050357130167
"126",23,"R",0.883050486149228
"127",24,"R",0.883050547044407
"128",25,"R",0.883050575786073
"129",26,"R",0.883050589351734
"130",27,"R",0.883050595754534
"131",28,"R",0.883050598776565
"132",29,"R",0.883050600202922
"133",30,"R",0.883050600876142
"134",31,"R",0.883050601193892
"135",32,"R",0.883050601343865
"136",33,"R",0.883050601414651
"137",34,"R",0.883050601448061
"138",35,"R",0.88305060146383
"139",36,"R",0.883050601471272
"140",37,"R",0.883050601474785
"141",38,"R",0.883050601476443
"142",39,"R",0.883050601477226
"143",40,"R",0.883050601477595
"144",41,"R",0.88305060147777
"145",42,"R",0.883050601477852
"146",43,"R",0.883050601477891
"147",44,"R",0.883050601477909
"148",45,"R",0.883050601477918
"149",46,"R",0.883050601477922
"150",47,"R",0.883050601477924
"151",48,"R",0.883050601477924
"152",49,"R",0.883050601477925
"153",50,"R",0.883050601477925
"154",0,"incidence",NA
"155",1,"incidence",0.191594113327083
"156",2,"incidence",0.274743649013879
"157",3,"incidence",0.179142816571444
"158",4,"incidence",0.0788052734990116
"159",5,"incidence",0.0327025096906274
"160",6,"incidence",0.0141555204515643
"161",7,"incidence",0.00637637980837892
"162",8,"incidence",0.00294016613110312
"163",9,"incidence",0.00137213170593589
"164",10,"incidence",0.00064414314316398
"165",11,"incidence",0.000303249255776419
"166",12,"incidence",0.000142956108170139
"167",13,"incidence",6.74346550372656e-05
"168",14,"incidence",3.18196025142353e-05
"169",15,"incidence",1.50164865068136e-05
"170",16,"incidence",7.08714259099741e-06
"171",17,"incidence",3.34493609023545e-06
"172",18,"incidence",1.5787414014562e-06
"173",19,"incidence",7.45138922744748e-07
"174",20,"incidence",3.51693995467861e-07
"175",21,"incidence",1.6599436418463e-07
"176",22,"incidence",7.83469431553385e-08
"177",23,"incidence",3.69786389564641e-08
