"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","North Carolina",2020-08-15,1,4436.47,12239.51,1,0.01
"2.5%","North Carolina",2020-08-15,1,4900.45,11324.65,1,0.025
"5%","North Carolina",2020-08-15,1,5305.45,10751.55,0,0.05
"10%","North Carolina",2020-08-15,1,5761.2,9964.7,0,0.1
"15%","North Carolina",2020-08-15,1,6084.5,9461.65,0,0.15
"20%","North Carolina",2020-08-15,1,6345.5,9104.7,0,0.2
"25%","North Carolina",2020-08-15,1,6574.25,8832,0,0.25
"30%","North Carolina",2020-08-15,1,6803.5,8543.8,0,0.3
"35%","North Carolina",2020-08-15,1,7039.15,8282.5,0,0.35
"40%","North Carolina",2020-08-15,1,7256.5,8063.9,0,0.4
"45%","North Carolina",2020-08-15,1,7454.5,7847.5,0,0.45
"1%1","North Carolina",2020-08-15,2,2987.91,13026.02,1,0.01
"2.5%1","North Carolina",2020-08-15,2,3426.925,11901.175,1,0.025
"5%1","North Carolina",2020-08-15,2,3863.9,11004.05,0,0.05
"10%1","North Carolina",2020-08-15,2,4379.7,9947.2,0,0.1
"15%1","North Carolina",2020-08-15,2,4793.7,9240.15,0,0.15
"20%1","North Carolina",2020-08-15,2,5119,8674.2,0,0.2
"25%1","North Carolina",2020-08-15,2,5403.5,8273.25,0,0.25
"30%1","North Carolina",2020-08-15,2,5669,7927.9,0,0.3
"35%1","North Carolina",2020-08-15,2,5955.65,7590,0,0.35
"40%1","North Carolina",2020-08-15,2,6202,7288,0,0.4
"45%1","North Carolina",2020-08-15,2,6447.65,7004.8,0,0.45
"1%2","North Carolina",2020-08-15,3,2277.4,12669.77,1,0.01
"2.5%2","North Carolina",2020-08-15,3,2697.475,11442.525,1,0.025
"5%2","North Carolina",2020-08-15,3,3117.4,10269.75,0,0.05
"10%2","North Carolina",2020-08-15,3,3614.5,9165.9,0,0.1
"15%2","North Carolina",2020-08-15,3,3986.5,8503.8,0,0.15
"20%2","North Carolina",2020-08-15,3,4292.3,7983.9,0,0.2
"25%2","North Carolina",2020-08-15,3,4598.5,7497.5,0,0.25
"30%2","North Carolina",2020-08-15,3,4849,7100.8,0,0.3
"35%2","North Carolina",2020-08-15,3,5103.15,6793.85,0,0.35
"40%2","North Carolina",2020-08-15,3,5379.1,6495.9,0,0.4
"45%2","North Carolina",2020-08-15,3,5650.05,6212.4,0,0.45
"1%3","North Carolina",2020-08-15,4,1684.5,25377.01,1,0.01
"2.5%3","North Carolina",2020-08-15,4,1748.45,21230.925,1,0.025
"5%3","North Carolina",2020-08-15,4,1887.5,17455.95,1,0.05
"10%3","North Carolina",2020-08-15,4,2172.5,13511.7,1,0.1
"15%3","North Carolina",2020-08-15,4,2481.05,11458.65,1,0.15
"20%3","North Carolina",2020-08-15,4,2798.3,9879.1,1,0.2
"25%3","North Carolina",2020-08-15,4,3133.5,8849.5,1,0.25
"30%3","North Carolina",2020-08-15,4,3512.5,7925,0,0.3
"35%3","North Carolina",2020-08-15,4,3841.15,7146.25,0,0.35
"40%3","North Carolina",2020-08-15,4,4243.1,6405.9,0,0.4
"45%3","North Carolina",2020-08-15,4,4736.15,5795.85,0,0.45
"1%4","North Carolina",2020-08-22,1,5477.83,15298.14,1,0.01
"2.5%4","North Carolina",2020-08-22,1,6018.8,14316.55,1,0.025
"5%4","North Carolina",2020-08-22,1,6495.9,13498.05,1,0.05
"10%4","North Carolina",2020-08-22,1,7096.9,12456.1,1,0.1
"15%4","North Carolina",2020-08-22,1,7504,11869.15,1,0.15
"20%4","North Carolina",2020-08-22,1,7892,11387.2,0,0.2
"25%4","North Carolina",2020-08-22,1,8188,11006.25,0,0.25
"30%4","North Carolina",2020-08-22,1,8489.1,10674.3,0,0.3
"35%4","North Carolina",2020-08-22,1,8759,10380,0,0.35
"40%4","North Carolina",2020-08-22,1,9003,10077.4,0,0.4
"45%4","North Carolina",2020-08-22,1,9256,9788.25,0,0.45
"1%5","North Carolina",2020-08-22,2,3743.46,18599.95,1,0.01
"2.5%5","North Carolina",2020-08-22,2,4487.5,16656.975,1,0.025
"5%5","North Carolina",2020-08-22,2,5055.15,15283,1,0.05
"10%5","North Carolina",2020-08-22,2,5770.9,13716.8,1,0.1
"15%5","North Carolina",2020-08-22,2,6371.35,12766.8,1,0.15
"20%5","North Carolina",2020-08-22,2,6885.3,12034.5,1,0.2
"25%5","North Carolina",2020-08-22,2,7305.75,11348,1,0.25
"30%5","North Carolina",2020-08-22,2,7698.2,10853.5,1,0.3
"35%5","North Carolina",2020-08-22,2,8064.5,10399.5,1,0.35
