"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Montana",2020-08-15,1,396.99,1234.01,1,0.01
"2.5%","Montana",2020-08-15,1,438.975,1145,1,0.025
"5%","Montana",2020-08-15,1,482.95,1070.05,1,0.05
"10%","Montana",2020-08-15,1,537,995,1,0.1
"15%","Montana",2020-08-15,1,572,943,1,0.15
"20%","Montana",2020-08-15,1,601,901,1,0.2
"25%","Montana",2020-08-15,1,627,868,1,0.25
"30%","Montana",2020-08-15,1,652,840,1,0.3
"35%","Montana",2020-08-15,1,677,813,1,0.35
"40%","Montana",2020-08-15,1,699.6,788,1,0.4
"45%","Montana",2020-08-15,1,720,766,0,0.45
"1%1","Montana",2020-08-15,2,203.99,1735.04,1,0.01
"2.5%1","Montana",2020-08-15,2,259.95,1522.025,1,0.025
"5%1","Montana",2020-08-15,2,312.95,1355.05,1,0.05
"10%1","Montana",2020-08-15,2,374,1183,1,0.1
"15%1","Montana",2020-08-15,2,425,1073.15,1,0.15
"20%1","Montana",2020-08-15,2,471,1005,1,0.2
"25%1","Montana",2020-08-15,2,512.75,943,1,0.25
"30%1","Montana",2020-08-15,2,549,882,1,0.3
"35%1","Montana",2020-08-15,2,590,843,0,0.35
"40%1","Montana",2020-08-15,2,629,795,0,0.4
"45%1","Montana",2020-08-15,2,669,752,0,0.45
"1%2","Montana",2020-08-15,3,163.99,2345.01,1,0.01
"2.5%2","Montana",2020-08-15,3,195.975,1972.15,1,0.025
"5%2","Montana",2020-08-15,3,234.95,1738,1,0.05
"10%2","Montana",2020-08-15,3,293,1458,1,0.1
"15%2","Montana",2020-08-15,3,347,1283.15,1,0.15
"20%2","Montana",2020-08-15,3,392,1148.2,1,0.2
"25%2","Montana",2020-08-15,3,434,1041.25,1,0.25
"30%2","Montana",2020-08-15,3,481,946,1,0.3
"35%2","Montana",2020-08-15,3,527,876,0,0.35
"40%2","Montana",2020-08-15,3,578,801,0,0.4
"45%2","Montana",2020-08-15,3,625,735,0,0.45
"1%3","Montana",2020-08-15,4,179.99,2722.15,1,0.01
"2.5%3","Montana",2020-08-15,4,195,2336,1,0.025
"5%3","Montana",2020-08-15,4,218,1966,1,0.05
"10%3","Montana",2020-08-15,4,258,1582.2,1,0.1
"15%3","Montana",2020-08-15,4,303,1329,1,0.15
"20%3","Montana",2020-08-15,4,349,1174,1,0.2
"25%3","Montana",2020-08-15,4,392,1047.25,1,0.25
"30%3","Montana",2020-08-15,4,442,952.3,1,0.3
"35%3","Montana",2020-08-15,4,490,859.350000000001,1,0.35
"40%3","Montana",2020-08-15,4,538.6,789,1,0.4
"45%3","Montana",2020-08-15,4,588,716,0,0.45
"1%4","Montana",2020-08-22,1,386,1172.02,1,0.01
"2.5%4","Montana",2020-08-22,1,429.975,1092,1,0.025
"5%4","Montana",2020-08-22,1,468.95,1032,1,0.05
"10%4","Montana",2020-08-22,1,519.9,950,1,0.1
"15%4","Montana",2020-08-22,1,551.85,903,1,0.15
"20%4","Montana",2020-08-22,1,581,867,0,0.2
"25%4","Montana",2020-08-22,1,605,835,0,0.25
"30%4","Montana",2020-08-22,1,629,804,0,0.3
"35%4","Montana",2020-08-22,1,652,781,0,0.35
"40%4","Montana",2020-08-22,1,672.6,761,0,0.4
"45%4","Montana",2020-08-22,1,694,736,0,0.45
"1%5","Montana",2020-08-22,2,216.47,1743.52,1,0.01
"2.5%5","Montana",2020-08-22,2,255.5,1539.6,1,0.025
"5%5","Montana",2020-08-22,2,310.5,1374.5,1,0.05
"10%5","Montana",2020-08-22,2,371.5,1203.5,1,0.1
"15%5","Montana",2020-08-22,2,428.5,1086.5,1,0.15
"20%5","Montana",2020-08-22,2,470.5,1002.7,1,0.2
"25%5","Montana",2020-08-22,2,509.5,933.75,1,0.25
"30%5","Montana",2020-08-22,2,551.5,875.5,0,0.3
"35%5","Montana",2020-08-22,2,587.5,829.5,0,0.35
"40%5","Montana",2020-08-22,2,622.5,783.900000000001,0,0.4
"45%5","Montana",2020-08-22,2,663.5,745.5,0,0.45
"1%6","Montana",2020-08-22,3,171,2453.01,1,0.01
"2.5%6","Montana",2020-08-22,3,200.975,1999.025,1,0.025
"5%6","Montana",2020-08-22,3,233.95,1718.05,1,0.05
"10%6","Montana",2020-08-22,3,302,1447.1,1,0.1
"15%6","Montana",2020-08-22,3,351,1287.15,1,0.15
"20%6","Montana",2020-08-22,3,398,1150,1,0.2
"25%6","Montana",2020-08-22,3,442.75,1047,1,0.25
"30%6","Montana",2020-08-22,3,488.7,952,1,0.3
"35%6","Montana",2020-08-22,3,538,881,1,0.35
"40%6","Montana",2020-08-22,3,586,811,1,0.4
"45%6","Montana",2020-08-22,3,635,748,0,0.45
"1%7","Montana",2020-08-22,4,176,2838.24000000001,1,0.01
"2.5%7","Montana",2020-08-22,4,197,2346.025,1,0.025
"5%7","Montana",2020-08-22,4,223,1987.15,1,0.05
"10%7","Montana",2020-08-22,4,271,1599.1,1,0.1
"15%7","Montana",2020-08-22,4,314,1377.15,1,0.15
"20%7","Montana",2020-08-22,4,361,1210,0,0.2
"25%7","Montana",2020-08-22,4,406,1094,0,0.25
"30%7","Montana",2020-08-22,4,452,995,0,0.3
"35%7","Montana",2020-08-22,4,506,894.350000000001,0,0.35
"40%7","Montana",2020-08-22,4,566,816.400000000001,0,0.4
"45%7","Montana",2020-08-22,4,624,749,0,0.45
"1%8","Montana",2020-08-29,1,457,1389.04,1,0.01
"2.5%8","Montana",2020-08-29,1,509.975,1287,1,0.025
"5%8","Montana",2020-08-29,1,558.95,1201.05,1,0.05
"10%8","Montana",2020-08-29,1,612,1124.1,1,0.1
"15%8","Montana",2020-08-29,1,652.85,1068,1,0.15
"20%8","Montana",2020-08-29,1,685,1024,1,0.2
"25%8","Montana",2020-08-29,1,718,984.25,1,0.25
"30%8","Montana",2020-08-29,1,746,952,1,0.3
"35%8","Montana",2020-08-29,1,768,924,1,0.35
"40%8","Montana",2020-08-29,1,794,898,0,0.4
"45%8","Montana",2020-08-29,1,819,872,0,0.45
"1%9","Montana",2020-08-29,2,251.49999999,2087.53999999,1,0.01
"2.5%9","Montana",2020-08-29,2,307.49999999,1857.54999999,1,0.025
"5%9","Montana",2020-08-29,2,367.49999999,1649.54999999,1,0.05
"10%9","Montana",2020-08-29,2,451.39999999,1435.59999999,1,0.1
"15%9","Montana",2020-08-29,2,519.49999999,1303.49999999,1,0.15
"20%9","Montana",2020-08-29,2,571.49999999,1209.49999999,1,0.2
"25%9","Montana",2020-08-29,2,621.24999999,1131.49999999,1,0.25
"30%9","Montana",2020-08-29,2,669.19999999,1062.49999999,1,0.3
"35%9","Montana",2020-08-29,2,713.14999999,1006.84999999,1,0.35
"40%9","Montana",2020-08-29,2,758.49999999,953.49999999,1,0.4
"45%9","Montana",2020-08-29,2,805.49999999,900.94999999,0,0.45
"1%10","Montana",2020-08-29,3,198.999999985,2997.009999985,1,0.01
"2.5%10","Montana",2020-08-29,3,240.999999985,2477.149999985,1,0.025
