"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Hawaii",2020-08-15,1,773,4169.02,1,0.01
"2.5%","Hawaii",2020-08-15,1,942.975,3803.1,1,0.025
"5%","Hawaii",2020-08-15,1,1057,3445,1,0.05
"10%","Hawaii",2020-08-15,1,1231,3126,1,0.1
"15%","Hawaii",2020-08-15,1,1359,2880.6,1,0.15
"20%","Hawaii",2020-08-15,1,1463,2698,1,0.2
"25%","Hawaii",2020-08-15,1,1564,2561.25,0,0.25
"30%","Hawaii",2020-08-15,1,1659.7,2426,0,0.3
"35%","Hawaii",2020-08-15,1,1751,2316,0,0.35
"40%","Hawaii",2020-08-15,1,1842,2211,0,0.4
"45%","Hawaii",2020-08-15,1,1921.55,2115.45,0,0.45
"1%1","Hawaii",2020-08-15,2,612.48,7772.53,1,0.01
"2.5%1","Hawaii",2020-08-15,2,779.4,6807.65,1,0.025
"5%1","Hawaii",2020-08-15,2,948.35,5968.55,1,0.05
"10%1","Hawaii",2020-08-15,2,1194.5,5020.6,1,0.1
"15%1","Hawaii",2020-08-15,2,1393.35,4450.25,1,0.15
"20%1","Hawaii",2020-08-15,2,1585.5,4035.9,1,0.2
"25%1","Hawaii",2020-08-15,2,1744.25,3727.5,1,0.25
"30%1","Hawaii",2020-08-15,2,1899.5,3455.8,0,0.3
"35%1","Hawaii",2020-08-15,2,2082.15,3192.2,0,0.35
"40%1","Hawaii",2020-08-15,2,2237.1,2963.5,0,0.4
"45%1","Hawaii",2020-08-15,2,2410.05,2770.5,0,0.45
"1%2","Hawaii",2020-08-15,3,738.99,12711.01,1,0.01
"2.5%2","Hawaii",2020-08-15,3,852.95,10622.525,1,0.025
"5%2","Hawaii",2020-08-15,3,986.95,8886.15,1,0.05
"10%2","Hawaii",2020-08-15,3,1244,7258.1,1,0.1
"15%2","Hawaii",2020-08-15,3,1464.85,6279.15,1,0.15
"20%2","Hawaii",2020-08-15,3,1685.8,5568.2,0,0.2
"25%2","Hawaii",2020-08-15,3,1920.75,5000.5,0,0.25
"30%2","Hawaii",2020-08-15,3,2144.7,4495.3,0,0.3
"35%2","Hawaii",2020-08-15,3,2398.3,4108.35,0,0.35
"40%2","Hawaii",2020-08-15,3,2638.6,3776,0,0.4
"45%2","Hawaii",2020-08-15,3,2930.1,3456,0,0.45
"1%3","Hawaii",2020-08-15,4,1070.99,18174.09,0,0.01
"2.5%3","Hawaii",2020-08-15,4,1144.975,14410.15,0,0.025
"5%3","Hawaii",2020-08-15,4,1255,12021.05,0,0.05
"10%3","Hawaii",2020-08-15,4,1461.9,9423.2,0,0.1
"15%3","Hawaii",2020-08-15,4,1700.85,7991.05,0,0.15
"20%3","Hawaii",2020-08-15,4,1906.8,6872,0,0.2
"25%3","Hawaii",2020-08-15,4,2140.75,6147.5,0,0.25
"30%3","Hawaii",2020-08-15,4,2418.4,5498.3,0,0.3
"35%3","Hawaii",2020-08-15,4,2694.65,4900.35,0,0.35
"40%3","Hawaii",2020-08-15,4,2979.2,4422.4,0,0.4
"45%3","Hawaii",2020-08-15,4,3328.55,4040.45,0,0.45
"1%4","Hawaii",2020-08-22,1,610,3427.11,1,0.01
"2.5%4","Hawaii",2020-08-22,1,722.975,3106.05,1,0.025
"5%4","Hawaii",2020-08-22,1,845,2850.2,1,0.05
"10%4","Hawaii",2020-08-22,1,989,2511,1,0.1
"15%4","Hawaii",2020-08-22,1,1089.85,2343.15,1,0.15
"20%4","Hawaii",2020-08-22,1,1184.8,2200,1,0.2
"25%4","Hawaii",2020-08-22,1,1271,2071.5,1,0.25
"30%4","Hawaii",2020-08-22,1,1342.7,1968,1,0.3
"35%4","Hawaii",2020-08-22,1,1415.65,1876.35,1,0.35
"40%4","Hawaii",2020-08-22,1,1493.6,1794.4,1,0.4
"45%4","Hawaii",2020-08-22,1,1566,1711,0,0.45
"1%5","Hawaii",2020-08-22,2,430.97,4671.02,1,0.01
"2.5%5","Hawaii",2020-08-22,2,524.975,4048.39999999999,1,0.025
"5%5","Hawaii",2020-08-22,2,626,3578.15,1,0.05
"10%5","Hawaii",2020-08-22,2,765.9,3065.3,1,0.1
"15%5","Hawaii",2020-08-22,2,887.85,2723,1,0.15
"20%5","Hawaii",2020-08-22,2,1003.8,2484.4,1,0.2
"25%5","Hawaii",2020-08-22,2,1104,2307.25,1,0.25
"30%5","Hawaii",2020-08-22,2,1221,2156.3,1,0.3
"35%5","Hawaii",2020-08-22,2,1323.65,2024,1,0.35
"40%5","Hawaii",2020-08-22,2,1430,1892.8,1,0.4
"45%5","Hawaii",2020-08-22,2,1539.1,1765,1,0.45
"1%6","Hawaii",2020-08-22,3,395,6423.02,1,0.01
"2.5%6","Hawaii",2020-08-22,3,448.975,5230.34999999999,1,0.025
"5%6","Hawaii",2020-08-22,3,530,4491.25,1,0.05
"10%6","Hawaii",2020-08-22,3,655,3723.1,1,0.1
"15%6","Hawaii",2020-08-22,3,759,3172,1,0.15
"20%6","Hawaii",2020-08-22,3,875.8,2821.2,1,0.2
"25%6","Hawaii",2020-08-22,3,976.75,2539,1,0.25
"30%6","Hawaii",2020-08-22,3,1084.7,2304.6,0,0.3
"35%6","Hawaii",2020-08-22,3,1203,2114.35,0,0.35
"40%6","Hawaii",2020-08-22,3,1330.6,1911.8,0,0.4
