"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage"
"1%","New Mexico",2020-08-22,1,10,3991.04,1
"2.5%","New Mexico",2020-08-22,1,25,3218.3,1
"5%","New Mexico",2020-08-22,1,46,2566.05,1
"10%","New Mexico",2020-08-22,1,97.9,1993,1
"15%","New Mexico",2020-08-22,1,148,1623.15,1
"20%","New Mexico",2020-08-22,1,203,1386,1
"25%","New Mexico",2020-08-22,1,254,1207.25,1
"30%","New Mexico",2020-08-22,1,316,1056.3,1
"35%","New Mexico",2020-08-22,1,382,934,1
"40%","New Mexico",2020-08-22,1,447,809,0
"45%","New Mexico",2020-08-22,1,528,705,0
"1%1","New Mexico",2020-08-22,2,10,4711.08,1
"2.5%1","New Mexico",2020-08-22,2,25,3452.15,1
"5%1","New Mexico",2020-08-22,2,46,2681,1
"10%1","New Mexico",2020-08-22,2,11,1903.3,1
"15%1","New Mexico",2020-08-22,2,25,1442,1
"20%1","New Mexico",2020-08-22,2,46,1136.4,1
"25%1","New Mexico",2020-08-22,2,71,911.25,1
"30%1","New Mexico",2020-08-22,2,105,738.3,0
"35%1","New Mexico",2020-08-22,2,142,591.350000000001,0
"40%1","New Mexico",2020-08-22,2,191,477,0
"45%1","New Mexico",2020-08-22,2,247,390,0
"1%2","New Mexico",2020-08-22,3,10,6029.25000000001,1
"2.5%2","New Mexico",2020-08-22,3,25,4273.075,1
"5%2","New Mexico",2020-08-22,3,46,2979.15,1
"10%2","New Mexico",2020-08-22,3,11,1824,1
"15%2","New Mexico",2020-08-22,3,25,1254.3,1
"20%2","New Mexico",2020-08-22,3,46,892,1
"25%2","New Mexico",2020-08-22,3,71,627,1
"30%2","New Mexico",2020-08-22,3,14,464,0
"35%2","New Mexico",2020-08-22,3,25,337.350000000001,0
"40%2","New Mexico",2020-08-22,3,44,237.400000000001,0
"45%2","New Mexico",2020-08-22,3,70,157.45,0
"1%3","New Mexico",2020-08-22,4,10,7290.04,1
"2.5%3","New Mexico",2020-08-22,4,25,4760.82499999997,1
"5%3","New Mexico",2020-08-22,4,46,2942.25,1
"10%3","New Mexico",2020-08-22,4,11,1498,1
"15%3","New Mexico",2020-08-22,4,25,782,0
"20%3","New Mexico",2020-08-22,4,46,459,0
"25%3","New Mexico",2020-08-22,4,71,267,0
"30%3","New Mexico",2020-08-22,4,14,151.3,0
"35%3","New Mexico",2020-08-22,4,25,81,0
"40%3","New Mexico",2020-08-22,4,44,41.4000000000005,0
"45%3","New Mexico",2020-08-22,4,70,20,0
"1%4","New Mexico",2020-08-29,1,8,3413.45000000001,1
"2.5%4","New Mexico",2020-08-29,1,20,2815.3,1
"5%4","New Mexico",2020-08-29,1,40.95,2324.05,1
"10%4","New Mexico",2020-08-29,1,79,1801,1
"15%4","New Mexico",2020-08-29,1,129,1463,1
"20%4","New Mexico",2020-08-29,1,171,1255,1
"25%4","New Mexico",2020-08-29,1,217,1077.25,1
"30%4","New Mexico",2020-08-29,1,279,951.3,1
"35%4","New Mexico",2020-08-29,1,339,832.350000000001,0
"40%4","New Mexico",2020-08-29,1,398.6,724,0
"45%4","New Mexico",2020-08-29,1,464,627.45,0
"1%5","New Mexico",2020-08-29,2,8,4477.36000000001,1
"2.5%5","New Mexico",2020-08-29,2,20,3498.2,1
"5%5","New Mexico",2020-08-29,2,40.95,2618,1
"10%5","New Mexico",2020-08-29,2,79,1759.2,1
"15%5","New Mexico",2020-08-29,2,21,1376.15,1
"20%5","New Mexico",2020-08-29,2,39,1081,1
"25%5","New Mexico",2020-08-29,2,61,886.25,1
"30%5","New Mexico",2020-08-29,2,92,724,1
"35%5","New Mexico",2020-08-29,2,130,572,0
"40%5","New Mexico",2020-08-29,2,176,465,0
"45%5","New Mexico",2020-08-29,2,227.55,372.45,0
"1%6","New Mexico",2020-08-29,3,8,5798.16,1
"2.5%6","New Mexico",2020-08-29,3,20,4243.44999999999,1
"5%6","New Mexico",2020-08-29,3,40.95,2954,1
"10%6","New Mexico",2020-08-29,3,79,1788.2,1
"15%6","New Mexico",2020-08-29,3,21,1237.15,1
"20%6","New Mexico",2020-08-29,3,39,873,1
"25%6","New Mexico",2020-08-29,3,61,635.25,0
"30%6","New Mexico",2020-08-29,3,12,460,0
"35%6","New Mexico",2020-08-29,3,22,320,0
"40%6","New Mexico",2020-08-29,3,39,223,0
"45%6","New Mexico",2020-08-29,3,62,153,0
"1%7","New Mexico",2020-08-29,4,8,7703.24000000001,1
"2.5%7","New Mexico",2020-08-29,4,20,5181.77499999999,1
"5%7","New Mexico",2020-08-29,4,40.95,3180.05,1
"10%7","New Mexico",2020-08-29,4,79,1613.6,1
"15%7","New Mexico",2020-08-29,4,21,823.300000000001,0
"20%7","New Mexico",2020-08-29,4,39,500.800000000001,0
"25%7","New Mexico",2020-08-29,4,61,285.25,0
"30%7","New Mexico",2020-08-29,4,12,167.3,0
"35%7","New Mexico",2020-08-29,4,22,92,0
"40%7","New Mexico",2020-08-29,4,39,46,0
"45%7","New Mexico",2020-08-29,4,62,23,0
"1%8","New Mexico",2020-09-05,1,6,3827.26000000001,1
"2.5%8","New Mexico",2020-09-05,1,19,3040.62499999999,1
"5%8","New Mexico",2020-09-05,1,42,2526,1
"10%8","New Mexico",2020-09-05,1,87,1949.1,1
"15%8","New Mexico",2020-09-05,1,129.85,1590.3,1
"20%8","New Mexico",2020-09-05,1,176.8,1335.2,1
"25%8","New Mexico",2020-09-05,1,230.75,1153,1
"30%8","New Mexico",2020-09-05,1,291.7,989,1
"35%8","New Mexico",2020-09-05,1,352,862,1
"40%8","New Mexico",2020-09-05,1,417,746,1
"45%8","New Mexico",2020-09-05,1,492,654.45,1
"1%9","New Mexico",2020-09-05,2,6,5227.07000000002,1
"2.5%9","New Mexico",2020-09-05,2,19,4054.17499999998,1
"5%9","New Mexico",2020-09-05,2,42,3070.5,1
"10%9","New Mexico",2020-09-05,2,12,2132.2,1
"15%9","New Mexico",2020-09-05,2,27,1632.45,1
"20%9","New Mexico",2020-09-05,2,50,1303.2,1
"25%9","New Mexico",2020-09-05,2,81,1039,1
"30%9","New Mexico",2020-09-05,2,113.7,828.6,0
"35%9","New Mexico",2020-09-05,2,159,678,0
"40%9","New Mexico",2020-09-05,2,214,548.400000000001,0
"45%9","New Mexico",2020-09-05,2,285,443,0
"1%10","New Mexico",2020-09-05,3,6,7195.22,1
"2.5%10","New Mexico",2020-09-05,3,19,5082.025,1
"5%10","New Mexico",2020-09-05,3,42,3489.1,1
"10%10","New Mexico",2020-09-05,3,12,2183.3,1
"15%10","New Mexico",2020-09-05,3,27,1521.75,1
"20%10","New Mexico",2020-09-05,3,50,1108.2,0
"25%10","New Mexico",2020-09-05,3,81,789,0
"30%10","New Mexico",2020-09-05,3,17,562,0
"35%10","New Mexico",2020-09-05,3,32,394.350000000001,0
"40%10","New Mexico",2020-09-05,3,54,279,0
"45%10","New Mexico",2020-09-05,3,84,189,0
"1%11","New Mexico",2020-09-05,4,6,10806.85,1
"2.5%11","New Mexico",2020-09-05,4,19,6889.79999999999,1
"5%11","New Mexico",2020-09-05,4,42,4263.15,1
"10%11","New Mexico",2020-09-05,4,12,2111.2,1
"15%11","New Mexico",2020-09-05,4,27,1171.15,0
"20%11","New Mexico",2020-09-05,4,50,668.600000000001,0
"25%11","New Mexico",2020-09-05,4,81,393,0
"30%11","New Mexico",2020-09-05,4,17,226,0
"35%11","New Mexico",2020-09-05,4,32,123.350000000001,0
"40%11","New Mexico",2020-09-05,4,54,67,0
"45%11","New Mexico",2020-09-05,4,84,32.4500000000003,0
"1%12","New Mexico",2020-09-12,1,3,2663.03,1
"2.5%12","New Mexico",2020-09-12,1,12,2107.075,1
"5%12","New Mexico",2020-09-12,1,27,1682.15,1
"10%12","New Mexico",2020-09-12,1,55,1285,1
"15%12","New Mexico",2020-09-12,1,85,1046,1
"20%12","New Mexico",2020-09-12,1,118.8,903.2,1
"25%12","New Mexico",2020-09-12,1,156,778,0
"30%12","New Mexico",2020-09-12,1,195,678.3,0
"35%12","New Mexico",2020-09-12,1,232,588.350000000001,0
"40%12","New Mexico",2020-09-12,1,275,506,0
"45%12","New Mexico",2020-09-12,1,329,441,0
"1%13","New Mexico",2020-09-12,2,3,3315.04,1
"2.5%13","New Mexico",2020-09-12,2,12,2529,1
"5%13","New Mexico",2020-09-12,2,27,1911,1
"10%13","New Mexico",2020-09-12,2,55,1344.2,1
"15%13","New Mexico",2020-09-12,2,17,1054.15,0
"20%13","New Mexico",2020-09-12,2,32,827,0
"25%13","New Mexico",2020-09-12,2,51,674,0
"30%13","New Mexico",2020-09-12,2,76,552,0
"35%13","New Mexico",2020-09-12,2,104,449,0
"40%13","New Mexico",2020-09-12,2,139,355,0
"45%13","New Mexico",2020-09-12,2,182,284.45,0
"1%14","New Mexico",2020-09-12,3,3,4789,1
"2.5%14","New Mexico",2020-09-12,3,12,3231.49999999999,1
"5%14","New Mexico",2020-09-12,3,27,2264.4,1
"10%14","New Mexico",2020-09-12,3,55,1477,0
"15%14","New Mexico",2020-09-12,3,17,1046.15,0
"20%14","New Mexico",2020-09-12,3,32,728,0
"25%14","New Mexico",2020-09-12,3,51,520.500000000001,0
"30%14","New Mexico",2020-09-12,3,12,370,0
"35%14","New Mexico",2020-09-12,3,22,270.350000000001,0
"40%14","New Mexico",2020-09-12,3,36.6000000000001,190,0
"45%14","New Mexico",2020-09-12,3,57,130,0
"1%15","New Mexico",2020-09-12,4,3,6896.39000000001,1
"2.5%15","New Mexico",2020-09-12,4,12,4167.34999999999,1
"5%15","New Mexico",2020-09-12,4,27,2679.2,1
"10%15","New Mexico",2020-09-12,4,55,1283.2,0
"15%15","New Mexico",2020-09-12,4,17,732.150000000001,0
"20%15","New Mexico",2020-09-12,4,32,402.600000000001,0
"25%15","New Mexico",2020-09-12,4,51,235.25,0
"30%15","New Mexico",2020-09-12,4,12,127,0
"35%15","New Mexico",2020-09-12,4,22,69,0
"40%15","New Mexico",2020-09-12,4,36.6000000000001,37,0
"45%15","New Mexico",2020-09-12,4,57,18,0
"1%16","New Mexico",2020-09-19,1,7,4002.07,1
"2.5%16","New Mexico",2020-09-19,1,17,3154.44999999999,1
"5%16","New Mexico",2020-09-19,1,40.95,2549.05,1
"10%16","New Mexico",2020-09-19,1,89,1963,1
"15%16","New Mexico",2020-09-19,1,137.85,1600.15,1
"20%16","New Mexico",2020-09-19,1,185,1352,1
"25%16","New Mexico",2020-09-19,1,237,1168.25,0
"30%16","New Mexico",2020-09-19,1,290.7,1018,0
"35%16","New Mexico",2020-09-19,1,360,893,0
"40%16","New Mexico",2020-09-19,1,437,783,0
"45%16","New Mexico",2020-09-19,1,514,681.45,0
"1%17","New Mexico",2020-09-19,2,7,5654.21,1
"2.5%17","New Mexico",2020-09-19,2,17,4173.42499999999,1
"5%17","New Mexico",2020-09-19,2,40.95,3151.5,1
"10%17","New Mexico",2020-09-19,2,14,2262.3,1
"15%17","New Mexico",2020-09-19,2,30,1751.3,1
"20%17","New Mexico",2020-09-19,2,56,1397.2,0
"25%17","New Mexico",2020-09-19,2,91,1144.25,0
"30%17","New Mexico",2020-09-19,2,134,931.6,0
"35%17","New Mexico",2020-09-19,2,181,739.350000000001,0
"40%17","New Mexico",2020-09-19,2,241.6,608,0
"45%17","New Mexico",2020-09-19,2,314,492.45,0
"1%18","New Mexico",2020-09-19,3,7,8327.15,1
"2.5%18","New Mexico",2020-09-19,3,17,5589,1
"5%18","New Mexico",2020-09-19,3,40.95,4055.3,1
"10%18","New Mexico",2020-09-19,3,14,2514.2,1
"15%18","New Mexico",2020-09-19,3,30,1726.9,0
"20%18","New Mexico",2020-09-19,3,56,1213,0
"25%18","New Mexico",2020-09-19,3,91,864.25,0
"30%18","New Mexico",2020-09-19,3,18,617.3,0
"35%18","New Mexico",2020-09-19,3,33,451,0
"40%18","New Mexico",2020-09-19,3,57,299,0
"45%18","New Mexico",2020-09-19,3,89.5500000000002,198.45,0
"1%19","New Mexico",2020-09-19,4,7,12015.41,1
"2.5%19","New Mexico",2020-09-19,4,17,7449.99999999999,1
"5%19","New Mexico",2020-09-19,4,40.95,4624.3,1
"10%19","New Mexico",2020-09-19,4,14,2265.7,0
"15%19","New Mexico",2020-09-19,4,30,1269.6,0
"20%19","New Mexico",2020-09-19,4,56,749.2,0
"25%19","New Mexico",2020-09-19,4,91,428,0
"30%19","New Mexico",2020-09-19,4,18,216.3,0
"35%19","New Mexico",2020-09-19,4,33,120.350000000001,0
"40%19","New Mexico",2020-09-19,4,57,57,0
"45%19","New Mexico",2020-09-19,4,89.5500000000002,27,0
"1%20","New Mexico",2020-09-26,1,15,6068.46000000001,1
"2.5%20","New Mexico",2020-09-26,1,37.975,4838.1,1
"5%20","New Mexico",2020-09-26,1,72,4030.35,1
"10%20","New Mexico",2020-09-26,1,144,3089.4,1
"15%20","New Mexico",2020-09-26,1,224,2555.15,1
"20%20","New Mexico",2020-09-26,1,304.8,2182.2,1
"25%20","New Mexico",2020-09-26,1,398,1881,1
"30%20","New Mexico",2020-09-26,1,496,1634.3,1
"35%20","New Mexico",2020-09-26,1,597,1418.35,0
"40%20","New Mexico",2020-09-26,1,708.6,1247,0
"45%20","New Mexico",2020-09-26,1,824.650000000001,1090,0
"1%21","New Mexico",2020-09-26,2,15,9555.24000000001,1
"2.5%21","New Mexico",2020-09-26,2,37.975,7453.25,1
"5%21","New Mexico",2020-09-26,2,72,5526.3,1
"10%21","New Mexico",2020-09-26,2,21,3943.7,1
"15%21","New Mexico",2020-09-26,2,54,2979.15,1
"20%21","New Mexico",2020-09-26,2,95,2379.2,0
"25%21","New Mexico",2020-09-26,2,148,1944,0
"30%21","New Mexico",2020-09-26,2,217,1577.6,0
"35%21","New Mexico",2020-09-26,2,301,1299.7,0
"40%21","New Mexico",2020-09-26,2,412,1067,0
"45%21","New Mexico",2020-09-26,2,540,860,0
"1%22","New Mexico",2020-09-26,3,15,14469.36,1
"2.5%22","New Mexico",2020-09-26,3,37.975,10368.625,1
"5%22","New Mexico",2020-09-26,3,72,7251.40000000001,1
"10%22","New Mexico",2020-09-26,3,21,4482.6,1
"15%22","New Mexico",2020-09-26,3,54,2996.75,0
"20%22","New Mexico",2020-09-26,3,95,2029,0
"25%22","New Mexico",2020-09-26,3,14,1487.75,0
"30%22","New Mexico",2020-09-26,3,28,1063,0
"35%22","New Mexico",2020-09-26,3,55.6500000000001,744.700000000002,0
"40%22","New Mexico",2020-09-26,3,96,516,0
"45%22","New Mexico",2020-09-26,3,151.55,352,0
"1%23","New Mexico",2020-09-26,4,15,19183.02,1
"2.5%23","New Mexico",2020-09-26,4,37.975,12184.1,1
"5%23","New Mexico",2020-09-26,4,72,7602.20000000001,1
"10%23","New Mexico",2020-09-26,4,21,3861.4,0
"15%23","New Mexico",2020-09-26,4,54,2115.05,0
"20%23","New Mexico",2020-09-26,4,95,1253.2,0
"25%23","New Mexico",2020-09-26,4,14,730,0
"30%23","New Mexico",2020-09-26,4,28,406.6,0
"35%23","New Mexico",2020-09-26,4,55.6500000000001,230.350000000001,0
"40%23","New Mexico",2020-09-26,4,96,112.400000000001,0
"45%23","New Mexico",2020-09-26,4,11,56,0
"1%24","New Mexico",2020-10-03,1,28.99,11238.05,1
"2.5%24","New Mexico",2020-10-03,1,69,8771.1,1
"5%24","New Mexico",2020-10-03,1,124.95,7226.3,1
"10%24","New Mexico",2020-10-03,1,244.9,5520.7,1
"15%24","New Mexico",2020-10-03,1,371.85,4545.9,1
"20%24","New Mexico",2020-10-03,1,508.8,3780.2,1
"25%24","New Mexico",2020-10-03,1,642,3266.5,1
"30%24","New Mexico",2020-10-03,1,810.7,2798.3,1
"35%24","New Mexico",2020-10-03,1,995,2444.35,1
"40%24","New Mexico",2020-10-03,1,1160.6,2108.4,0
"45%24","New Mexico",2020-10-03,1,1355.1,1844,0
"1%25","New Mexico",2020-10-03,2,28.99,20779.29,1
"2.5%25","New Mexico",2020-10-03,2,69,16108.55,1
"5%25","New Mexico",2020-10-03,2,11,12503.35,1
"10%25","New Mexico",2020-10-03,2,49,8697.40000000001,1
"15%25","New Mexico",2020-10-03,2,111,6629.9,1
"20%25","New Mexico",2020-10-03,2,193.8,5253.2,1
"25%25","New Mexico",2020-10-03,2,314.75,4300.25000000001,1
"30%25","New Mexico",2020-10-03,2,478.7,3440.2,0
"35%25","New Mexico",2020-10-03,2,649,2795.4,0
"40%25","New Mexico",2020-10-03,2,879.6,2279.4,0
"45%25","New Mexico",2020-10-03,2,1142,1834.45,0
"1%26","New Mexico",2020-10-03,3,28.99,36117.09,1
"2.5%26","New Mexico",2020-10-03,3,69,24553.575,1
"5%26","New Mexico",2020-10-03,3,11,17024.8,1
"10%26","New Mexico",2020-10-03,3,49,11404.1,1
"15%26","New Mexico",2020-10-03,3,111,7778.9,1
"20%26","New Mexico",2020-10-03,3,18,5293.2,1
"25%26","New Mexico",2020-10-03,3,40,3812.75,0
"30%26","New Mexico",2020-10-03,3,79,2654.6,0
"35%26","New Mexico",2020-10-03,3,143,1904.75,0
"40%26","New Mexico",2020-10-03,3,245,1364.4,0
"45%26","New Mexico",2020-10-03,3,393,943.250000000001,0
"1%27","New Mexico",2020-10-03,4,28.99,51013.4400000002,1
"2.5%27","New Mexico",2020-10-03,4,69,34183.1749999999,1
"5%27","New Mexico",2020-10-03,4,11,22404.85,1
"10%27","New Mexico",2020-10-03,4,49,10400.5,1
"15%27","New Mexico",2020-10-03,4,111,5641.6,1
"20%27","New Mexico",2020-10-03,4,18,3342,0
"25%27","New Mexico",2020-10-03,4,40,2037.75,0
"30%27","New Mexico",2020-10-03,4,79,1098.3,0
"35%27","New Mexico",2020-10-03,4,143,631.050000000002,0
"40%27","New Mexico",2020-10-03,4,14,337,0
"45%27","New Mexico",2020-10-03,4,38,174,0
"1%28","New Mexico",2020-10-10,1,1845.96,5107.05,1
"2.5%28","New Mexico",2020-10-10,1,2015.925,4782.1,1
"5%28","New Mexico",2020-10-10,1,2178.95,4528.05,1
"10%28","New Mexico",2020-10-10,1,2392,4218.1,1
"15%28","New Mexico",2020-10-10,1,2531.85,4005.15,1
"20%28","New Mexico",2020-10-10,1,2641.8,3847.2,1
"25%28","New Mexico",2020-10-10,1,2753.75,3726.25,1
"30%28","New Mexico",2020-10-10,1,2841.1,3599.3,0
"35%28","New Mexico",2020-10-10,1,2949,3481,0
"40%28","New Mexico",2020-10-10,1,3035,3385.4,0
"45%28","New Mexico",2020-10-10,1,3129,3290,0
"1%29","New Mexico",2020-10-10,2,238.96,14183.73,1
"2.5%29","New Mexico",2020-10-10,2,433,11645.875,1
"5%29","New Mexico",2020-10-10,2,651,9977.25,1
"10%29","New Mexico",2020-10-10,2,984.9,8155.40000000001,1
"15%29","New Mexico",2020-10-10,2,1284,7093.75,1
"20%29","New Mexico",2020-10-10,2,1598.6,6251.6,1
"25%29","New Mexico",2020-10-10,2,1894.75,5666,1
"30%29","New Mexico",2020-10-10,2,2187.1,5124.6,1
"35%29","New Mexico",2020-10-10,2,2469,4569,0
"40%29","New Mexico",2020-10-10,2,2766,4137,0
"45%29","New Mexico",2020-10-10,2,3060.2,3750.45,0
"1%30","New Mexico",2020-10-10,3,238.96,37463.41,1
"2.5%30","New Mexico",2020-10-10,3,433,28556.475,1
"5%30","New Mexico",2020-10-10,3,651,21260.1,1
"10%30","New Mexico",2020-10-10,3,18,14350.1,1
"15%30","New Mexico",2020-10-10,3,56.8500000000001,10349.75,1
"20%30","New Mexico",2020-10-10,3,121,8004.4,1
"25%30","New Mexico",2020-10-10,3,216.5,6170.75,1
"30%30","New Mexico",2020-10-10,3,366,4695.1,0
"35%30","New Mexico",2020-10-10,3,584,3715.35,0
"40%30","New Mexico",2020-10-10,3,846,2805.6,0
"45%30","New Mexico",2020-10-10,3,1183,2114.45,0
"1%31","New Mexico",2020-10-10,4,238.96,78980.4300000001,1
"2.5%31","New Mexico",2020-10-10,4,433,47774.7249999996,1
"5%31","New Mexico",2020-10-10,4,651,27468.45,1
"10%31","New Mexico",2020-10-10,4,18,14272.1,1
"15%31","New Mexico",2020-10-10,4,56.8500000000001,7951.80000000003,1
"20%31","New Mexico",2020-10-10,4,121,4933.6,0
"25%31","New Mexico",2020-10-10,4,216.5,2557.25,0
"30%31","New Mexico",2020-10-10,4,366,1476.6,0
"35%31","New Mexico",2020-10-10,4,584,753.700000000002,0
"40%31","New Mexico",2020-10-10,4,17,382.400000000001,0
"45%31","New Mexico",2020-10-10,4,40,195,0
"1%32","New Mexico",2020-10-17,1,2833.86,7386.05,1
"2.5%32","New Mexico",2020-10-17,1,3066.775,6916.125,1
"5%32","New Mexico",2020-10-17,1,3328.95,6537,1
"10%32","New Mexico",2020-10-17,1,3604,6095.1,1
"15%32","New Mexico",2020-10-17,1,3786.85,5809,1
"20%32","New Mexico",2020-10-17,1,3962.4,5587.4,1
"25%32","New Mexico",2020-10-17,1,4106.75,5414.25,1
"30%32","New Mexico",2020-10-17,1,4236.7,5257.3,1
"35%32","New Mexico",2020-10-17,1,4374,5117,1
"40%32","New Mexico",2020-10-17,1,4485,4979.8,1
"45%32","New Mexico",2020-10-17,1,4597.55,4842,1
"1%33","New Mexico",2020-10-17,2,454.97,18557.86,1
"2.5%33","New Mexico",2020-10-17,2,753.85,16089.025,1
"5%33","New Mexico",2020-10-17,2,1094.95,13620.15,1
"10%33","New Mexico",2020-10-17,2,1614,11252.8,1
"15%33","New Mexico",2020-10-17,2,2058,9854.3,1
"20%33","New Mexico",2020-10-17,2,2472.8,8847,1
"25%33","New Mexico",2020-10-17,2,2868.75,7952.25000000001,1
"30%33","New Mexico",2020-10-17,2,3254.7,7231.4,1
"35%33","New Mexico",2020-10-17,2,3680.95,6513.1,1
"40%33","New Mexico",2020-10-17,2,4131.6,5957,1
"45%33","New Mexico",2020-10-17,2,4567.1,5468.35,1
"1%34","New Mexico",2020-10-17,3,454.97,55511.9200000001,1
"2.5%34","New Mexico",2020-10-17,3,753.85,40998.6749999999,1
"5%34","New Mexico",2020-10-17,3,1094.95,29322.75,1
"10%34","New Mexico",2020-10-17,3,1614,18931,1
"15%34","New Mexico",2020-10-17,3,40,13622,1
"20%34","New Mexico",2020-10-17,3,100.8,9875,1
"25%34","New Mexico",2020-10-17,3,196.75,7408.25,1
"30%34","New Mexico",2020-10-17,3,353,5597.3,0
"35%34","New Mexico",2020-10-17,3,560,4323,0
"40%34","New Mexico",2020-10-17,3,864,3267.6,0
"45%34","New Mexico",2020-10-17,3,1276.65,2505.45,0
"1%35","New Mexico",2020-10-17,4,454.97,95347.9000000001,1
"2.5%35","New Mexico",2020-10-17,4,753.85,61676.9249999997,1
"5%35","New Mexico",2020-10-17,4,1094.95,39706.2,1
"10%35","New Mexico",2020-10-17,4,1614,19704.3,1
"15%35","New Mexico",2020-10-17,4,40,12230.4,1
"20%35","New Mexico",2020-10-17,4,100.8,7137.40000000001,0
"25%35","New Mexico",2020-10-17,4,196.75,4084.75,0
"30%35","New Mexico",2020-10-17,4,353,2172,0
"35%35","New Mexico",2020-10-17,4,560,1179.75,0
"40%35","New Mexico",2020-10-17,4,24,616.200000000002,0
"45%35","New Mexico",2020-10-17,4,68.5500000000002,314.45,0
"1%36","New Mexico",2020-10-24,1,3528,8512.12,1
"2.5%36","New Mexico",2020-10-24,1,3825.95,8000.05,1
"5%36","New Mexico",2020-10-24,1,4097,7612,1
"10%36","New Mexico",2020-10-24,1,4408,7174.1,1
"15%36","New Mexico",2020-10-24,1,4640.85,6871.15,1
"20%36","New Mexico",2020-10-24,1,4821.8,6643,1
"25%36","New Mexico",2020-10-24,1,4992,6440.25,1
"30%36","New Mexico",2020-10-24,1,5137.7,6275.3,1
"35%36","New Mexico",2020-10-24,1,5282,6132,1
"40%36","New Mexico",2020-10-24,1,5414,5983.4,1
"45%36","New Mexico",2020-10-24,1,5551.55,5849.45,0
"1%37","New Mexico",2020-10-24,2,718.96,20713.13,1
"2.5%37","New Mexico",2020-10-24,2,1072.975,17767.575,1
"5%37","New Mexico",2020-10-24,2,1469.45,15304.3,1
"10%37","New Mexico",2020-10-24,2,2069.8,12464.6,1
"15%37","New Mexico",2020-10-24,2,2579.85,10785.9,1
"20%37","New Mexico",2020-10-24,2,2983.8,9604.6,1
"25%37","New Mexico",2020-10-24,2,3437,8684,1
"30%37","New Mexico",2020-10-24,2,3890.7,8030,1
"35%37","New Mexico",2020-10-24,2,4362.65,7329.75,1
"40%37","New Mexico",2020-10-24,2,4835.6,6767.4,0
"45%37","New Mexico",2020-10-24,2,5235.55,6233.35,0
"1%38","New Mexico",2020-10-24,3,718.96,58796.9200000001,1
"2.5%38","New Mexico",2020-10-24,3,1072.975,43501.1249999999,1
"5%38","New Mexico",2020-10-24,3,1469.45,30343.7,1
"10%38","New Mexico",2020-10-24,3,27,21229.1,1
"15%38","New Mexico",2020-10-24,3,73,15762.8,1
"20%38","New Mexico",2020-10-24,3,169,11925.6,1
"25%38","New Mexico",2020-10-24,3,310.75,9221.00000000002,0
"30%38","New Mexico",2020-10-24,3,509,7141.2,0
"35%38","New Mexico",2020-10-24,3,798.95,5522,0
"40%38","New Mexico",2020-10-24,3,1181.4,4320.8,0
"45%38","New Mexico",2020-10-24,3,1706.1,3313.1,0
"1%39","New Mexico",2020-10-24,4,718.96,123608.05,1
"2.5%39","New Mexico",2020-10-24,4,1072.975,75080.8499999999,1
"5%39","New Mexico",2020-10-24,4,1469.45,46768.95,1
"10%39","New Mexico",2020-10-24,4,27,22258.8,1
"15%39","New Mexico",2020-10-24,4,73,11994.65,0
"20%39","New Mexico",2020-10-24,4,169,6727,0
"25%39","New Mexico",2020-10-24,4,310.75,3902.5,0
"30%39","New Mexico",2020-10-24,4,509,2096.8,0
"35%39","New Mexico",2020-10-24,4,798.95,1111.1,0
"40%39","New Mexico",2020-10-24,4,25,578.800000000001,0
"45%39","New Mexico",2020-10-24,4,59,291,0
"1%40","New Mexico",2020-10-31,1,3943.87,9104.06,1
"2.5%40","New Mexico",2020-10-31,1,4187.925,8565.34999999999,1
"5%40","New Mexico",2020-10-31,1,4450,8079.2,1
"10%40","New Mexico",2020-10-31,1,4775,7616.1,1
"15%40","New Mexico",2020-10-31,1,5019.85,7285.15,1
"20%40","New Mexico",2020-10-31,1,5229,7038,0
"25%40","New Mexico",2020-10-31,1,5403,6843,0
"30%40","New Mexico",2020-10-31,1,5548.7,6675.3,0
"35%40","New Mexico",2020-10-31,1,5693.65,6513.35,0
"40%40","New Mexico",2020-10-31,1,5825.6,6367.8,0
"45%40","New Mexico",2020-10-31,1,5948,6215.45,0
"1%41","New Mexico",2020-10-31,2,729.94,19526.8,1
"2.5%41","New Mexico",2020-10-31,2,1108.975,16570.1,1
"5%41","New Mexico",2020-10-31,2,1443.95,14587.05,1
"10%41","New Mexico",2020-10-31,2,2104.7,12111.9,1
"15%41","New Mexico",2020-10-31,2,2631,10516.75,1
"20%41","New Mexico",2020-10-31,2,3076.2,9472.2,0
"25%41","New Mexico",2020-10-31,2,3533,8616.25,0
"30%41","New Mexico",2020-10-31,2,3971.7,7816.9,0
"35%41","New Mexico",2020-10-31,2,4401.6,7252,0
"40%41","New Mexico",2020-10-31,2,4795.6,6751.6,0
"45%41","New Mexico",2020-10-31,2,5283.65,6230.9,0
"1%42","New Mexico",2020-10-31,3,729.94,54036.02,1
"2.5%42","New Mexico",2020-10-31,3,1108.975,40650.65,1
"5%42","New Mexico",2020-10-31,3,1443.95,29507.75,1
"10%42","New Mexico",2020-10-31,3,43.9,19372.3,1
"15%42","New Mexico",2020-10-31,3,120.85,14388.45,0
"20%42","New Mexico",2020-10-31,3,249,10797,0
"25%42","New Mexico",2020-10-31,3,437,8425.25000000001,0
"30%42","New Mexico",2020-10-31,3,672.1,6581.1,0
