"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Missouri",2020-08-15,1,2258.44,24401.6,1,0.01
"2.5%","Missouri",2020-08-15,1,2830.5,21576.9,1,0.025
"5%","Missouri",2020-08-15,1,3450.35,18911.75,1,0.05
"10%","Missouri",2020-08-15,1,4265.5,16170.8,1,0.1
"15%","Missouri",2020-08-15,1,4910.5,14432.95,1,0.15
"20%","Missouri",2020-08-15,1,5543.5,13141.7,1,0.2
"25%","Missouri",2020-08-15,1,6117,12190.25,1,0.25
"30%","Missouri",2020-08-15,1,6677.1,11341.6,1,0.3
"35%","Missouri",2020-08-15,1,7199.5,10624.25,1,0.35
"40%","Missouri",2020-08-15,1,7749.7,9993.3,1,0.4
"45%","Missouri",2020-08-15,1,8220.15,9370.85,0,0.45
"1%1","Missouri",2020-08-15,2,1971.44,26760.59,1,0.01
"2.5%1","Missouri",2020-08-15,2,2406.275,22981.95,1,0.025
"5%1","Missouri",2020-08-15,2,2827.45,20383.85,1,0.05
"10%1","Missouri",2020-08-15,2,3613.5,17277.6,1,0.1
"15%1","Missouri",2020-08-15,2,4258.2,15288.3,1,0.15
"20%1","Missouri",2020-08-15,2,4843.3,13641.9,1,0.2
"25%1","Missouri",2020-08-15,2,5503,12457.5,1,0.25
"30%1","Missouri",2020-08-15,2,6059.6,11447,1,0.3
"35%1","Missouri",2020-08-15,2,6661.15,10649.85,1,0.35
"40%1","Missouri",2020-08-15,2,7226.7,9840.5,1,0.4
"45%1","Missouri",2020-08-15,2,7807.5,9079.85,1,0.45
"1%2","Missouri",2020-08-15,3,1972.96,26060.17,1,0.01
"2.5%2","Missouri",2020-08-15,3,2320.825,22598.775,1,0.025
"5%2","Missouri",2020-08-15,3,2812.9,19380,1,0.05
"10%2","Missouri",2020-08-15,3,3568,16179.2,1,0.1
"15%2","Missouri",2020-08-15,3,4128.85,14330.3,1,0.15
"20%2","Missouri",2020-08-15,3,4707.4,12958.2,1,0.2
"25%2","Missouri",2020-08-15,3,5225.75,11869.25,1,0.25
"30%2","Missouri",2020-08-15,3,5738,10957.2,1,0.3
"35%2","Missouri",2020-08-15,3,6272,10165.75,0,0.35
"40%2","Missouri",2020-08-15,3,6859,9325.40000000001,0,0.4
"45%2","Missouri",2020-08-15,3,7451.55,8682.45,0,0.45
"1%3","Missouri",2020-08-15,4,1739.97,25505.13,1,0.01
"2.5%3","Missouri",2020-08-15,4,2172.95,21557.775,1,0.025
"5%3","Missouri",2020-08-15,4,2611.75,18774,1,0.05
"10%3","Missouri",2020-08-15,4,3329.7,15568.6,1,0.1
"15%3","Missouri",2020-08-15,4,3910.85,13702.3,1,0.15
"20%3","Missouri",2020-08-15,4,4441.6,12408.4,1,0.2
"25%3","Missouri",2020-08-15,4,4931.75,11371.25,1,0.25
"30%3","Missouri",2020-08-15,4,5450.4,10431.2,1,0.3
"35%3","Missouri",2020-08-15,4,5957.95,9590.35,1,0.35
"40%3","Missouri",2020-08-15,4,6453,8865.8,0,0.4
"45%3","Missouri",2020-08-15,4,6989,8176.45,0,0.45
"1%4","Missouri",2020-08-22,1,2130.37,21071.18,1,0.01
"2.5%4","Missouri",2020-08-22,1,2642.5,18118.3,1,0.025
"5%4","Missouri",2020-08-22,1,3214.45,16153.35,1,0.05
"10%4","Missouri",2020-08-22,1,3996.6,13884.5,1,0.1
"15%4","Missouri",2020-08-22,1,4532.9,12620.5,1,0.15
"20%4","Missouri",2020-08-22,1,5029.1,11626.1,1,0.2
"25%4","Missouri",2020-08-22,1,5440.25,10782,1,0.25
"30%4","Missouri",2020-08-22,1,5853.5,9996.7,1,0.3
"35%4","Missouri",2020-08-22,1,6299.15,9364.2,1,0.35
