"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","South Carolina",2020-08-15,1,2595.16,9447.03000000001,1,0.01
"2.5%","South Carolina",2020-08-15,1,2973.475,8608.625,1,0.025
"5%","South Carolina",2020-08-15,1,3282.5,7959.55,1,0.05
"10%","South Carolina",2020-08-15,1,3674.5,7297.6,1,0.1
"15%","South Carolina",2020-08-15,1,3918.35,6843.65,1,0.15
"20%","South Carolina",2020-08-15,1,4144.3,6520.5,1,0.2
"25%","South Carolina",2020-08-15,1,4339.25,6252.5,1,0.25
"30%","South Carolina",2020-08-15,1,4524.5,6019.5,1,0.3
"35%","South Carolina",2020-08-15,1,4720.8,5785.85,1,0.35
"40%","South Carolina",2020-08-15,1,4903.5,5601.5,1,0.4
"45%","South Carolina",2020-08-15,1,5069.05,5406.95,0,0.45
"1%1","South Carolina",2020-08-15,2,1126.5,9750.63,1,0.01
"2.5%1","South Carolina",2020-08-15,2,1420.5,8730.5,1,0.025
"5%1","South Carolina",2020-08-15,2,1700.5,7634.05,1,0.05
"10%1","South Carolina",2020-08-15,2,2076.4,6678.2,1,0.1
"15%1","South Carolina",2020-08-15,2,2372.5,6161.95,1,0.15
"20%1","South Carolina",2020-08-15,2,2643.5,5687.7,0,0.2
"25%1","South Carolina",2020-08-15,2,2892,5339.75,0,0.25
"30%1","South Carolina",2020-08-15,2,3088.5,5021.8,0,0.3
"35%1","South Carolina",2020-08-15,2,3308.5,4741.85,0,0.35
"40%1","South Carolina",2020-08-15,2,3515.1,4466.3,0,0.4
"45%1","South Carolina",2020-08-15,2,3748.05,4213.95,0,0.45
"1%2","South Carolina",2020-08-15,3,723.85,8938.15,1,0.01
"2.5%2","South Carolina",2020-08-15,3,882,7647.075,1,0.025
"5%2","South Carolina",2020-08-15,3,1053.95,6607.7,0,0.05
"10%2","South Carolina",2020-08-15,3,1343.9,5650.1,0,0.1
"15%2","South Carolina",2020-08-15,3,1565.55,4980.2,0,0.15
"20%2","South Carolina",2020-08-15,3,1758,4536.2,0,0.2
"25%2","South Carolina",2020-08-15,3,1958.5,4172.25,0,0.25
"30%2","South Carolina",2020-08-15,3,2150.7,3871.3,0,0.3
"35%2","South Carolina",2020-08-15,3,2332.65,3616,0,0.35
"40%2","South Carolina",2020-08-15,3,2532.8,3362.2,0,0.4
"45%2","South Carolina",2020-08-15,3,2725.55,3137.45,0,0.45
"1%3","South Carolina",2020-08-15,4,494.93,7894.56000000001,1,0.01
"2.5%3","South Carolina",2020-08-15,4,560.975,6603.39999999999,1,0.025
"5%3","South Carolina",2020-08-15,4,648.95,5561.1,0,0.05
"10%3","South Carolina",2020-08-15,4,822,4520.1,0,0.1
"15%3","South Carolina",2020-08-15,4,965.85,3898.45,0,0.15
"20%3","South Carolina",2020-08-15,4,1109,3490.8,0,0.2
"25%3","South Carolina",2020-08-15,4,1234,3147.75,0,0.25
"30%3","South Carolina",2020-08-15,4,1360,2854.3,0,0.3
"35%3","South Carolina",2020-08-15,4,1511,2612.35,0,0.35
"40%3","South Carolina",2020-08-15,4,1663.2,2382.4,0,0.4
"45%3","South Carolina",2020-08-15,4,1820,2182.45,0,0.45
"1%4","South Carolina",2020-08-22,1,2113.86,7331.07,1,0.01
"2.5%4","South Carolina",2020-08-22,1,2397.95,6745.025,1,0.025
"5%4","South Carolina",2020-08-22,1,2646.95,6301,1,0.05
"10%4","South Carolina",2020-08-22,1,2962.6,5751.3,0,0.1
"15%4","South Carolina",2020-08-22,1,3176.7,5466.15,0,0.15
"20%4","South Carolina",2020-08-22,1,3348.6,5195,0,0.2
"25%4","South Carolina",2020-08-22,1,3508,4981,0,0.25
"30%4","South Carolina",2020-08-22,1,3656,4806,0,0.3
"35%4","South Carolina",2020-08-22,1,3794.65,4642,0,0.35
"40%4","South Carolina",2020-08-22,1,3930.6,4497,0,0.4
"45%4","South Carolina",2020-08-22,1,4074.55,4347.45,0,0.45
"1%5","South Carolina",2020-08-22,2,903.46,7488.56,1,0.01
"2.5%5","South Carolina",2020-08-22,2,1122.475,6614.725,0,0.025
"5%5","South Carolina",2020-08-22,2,1351.45,5998.1,0,0.05
"10%5","South Carolina",2020-08-22,2,1649.4,5249.6,0,0.1
"15%5","South Carolina",2020-08-22,2,1864.35,4741.65,0,0.15
"20%5","South Carolina",2020-08-22,2,2041.3,4358.5,0,0.2
"25%5","South Carolina",2020-08-22,2,2208.25,4079.5,0,0.25
"30%5","South Carolina",2020-08-22,2,2390.2,3832.1,0,0.3
"35%5","South Carolina",2020-08-22,2,2546.5,3613.5,0,0.35
"40%5","South Carolina",2020-08-22,2,2711.1,3431.5,0,0.4
"45%5","South Carolina",2020-08-22,2,2896.6,3228.5,0,0.45
"1%6","South Carolina",2020-08-22,3,472.49,6501.54,1,0.01
"2.5%6","South Carolina",2020-08-22,3,614.475,5470.675,0,0.025
"5%6","South Carolina",2020-08-22,3,742.45,4786.5,0,0.05
"10%6","South Carolina",2020-08-22,3,955.4,4023.7,0,0.1
"15%6","South Carolina",2020-08-22,3,1122.5,3606.65,0,0.15
"20%6","South Carolina",2020-08-22,3,1263.3,3276.5,0,0.2
"25%6","South Carolina",2020-08-22,3,1380.5,3004.75,0,0.25
"30%6","South Carolina",2020-08-22,3,1508.9,2762.5,0,0.3
"35%6","South Carolina",2020-08-22,3,1645.8,2546.55,0,0.35
"40%6","South Carolina",2020-08-22,3,1779.1,2357.5,0,0.4
