"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","South Dakota",2020-08-15,1,316,1359.03,1,0.01
"2.5%","South Dakota",2020-08-15,1,365.975,1235.025,1,0.025
"5%","South Dakota",2020-08-15,1,406.95,1130,1,0.05
"10%","South Dakota",2020-08-15,1,456,1028.1,1,0.1
"15%","South Dakota",2020-08-15,1,502,961,0,0.15
"20%","South Dakota",2020-08-15,1,537,904,0,0.2
"25%","South Dakota",2020-08-15,1,570,861,0,0.25
"30%","South Dakota",2020-08-15,1,598,826.3,0,0.3
"35%","South Dakota",2020-08-15,1,624,793.350000000001,0,0.35
"40%","South Dakota",2020-08-15,1,652,763,0,0.4
"45%","South Dakota",2020-08-15,1,677,734,0,0.45
"1%1","South Dakota",2020-08-15,2,213.49,1992.63,1,0.01
"2.5%1","South Dakota",2020-08-15,2,259.475,1766.55,0,0.025
"5%1","South Dakota",2020-08-15,2,311.5,1560.5,0,0.05
"10%1","South Dakota",2020-08-15,2,382.5,1358.5,0,0.1
"15%1","South Dakota",2020-08-15,2,433.5,1227.65,0,0.15
"20%1","South Dakota",2020-08-15,2,487.5,1138.5,0,0.2
"25%1","South Dakota",2020-08-15,2,536.5,1055.5,0,0.25
"30%1","South Dakota",2020-08-15,2,583.5,981.5,0,0.3
"35%1","South Dakota",2020-08-15,2,629.15,919.850000000001,0,0.35
"40%1","South Dakota",2020-08-15,2,676.5,865.5,0,0.4
"45%1","South Dakota",2020-08-15,2,725.5,818.5,0,0.45
"1%2","South Dakota",2020-08-15,3,192.49,2580.55,1,0.01
"2.5%2","South Dakota",2020-08-15,3,241.5,2226.5,1,0.025
"5%2","South Dakota",2020-08-15,3,299.45,1956.5,1,0.05
"10%2","South Dakota",2020-08-15,3,381.5,1667.6,0,0.1
"15%2","South Dakota",2020-08-15,3,442.5,1468.5,0,0.15
"20%2","South Dakota",2020-08-15,3,501.5,1339.5,0,0.2
"25%2","South Dakota",2020-08-15,3,558.5,1224.5,0,0.25
"30%2","South Dakota",2020-08-15,3,612.5,1130.8,0,0.3
"35%2","South Dakota",2020-08-15,3,664.5,1046.5,0,0.35
"40%2","South Dakota",2020-08-15,3,722.5,971.5,0,0.4
"45%2","South Dakota",2020-08-15,3,781.5,901.95,0,0.45
"1%3","South Dakota",2020-08-15,4,224.99,2824.06,1,0.01
"2.5%3","South Dakota",2020-08-15,4,274,2450,1,0.025
"5%3","South Dakota",2020-08-15,4,324,2142,1,0.05
"10%3","South Dakota",2020-08-15,4,410,1788.1,1,0.1
"15%3","South Dakota",2020-08-15,4,475.85,1599,1,0.15
"20%3","South Dakota",2020-08-15,4,543,1455,0,0.2
"25%3","South Dakota",2020-08-15,4,597,1331,0,0.25
"30%3","South Dakota",2020-08-15,4,655.4,1229,0,0.3
"35%3","South Dakota",2020-08-15,4,718,1133,0,0.35
"40%3","South Dakota",2020-08-15,4,780,1052,0,0.4
"45%3","South Dakota",2020-08-15,4,842,973,0,0.45
"1%4","South Dakota",2020-08-22,1,503.49,2265.55,1,0.01
"2.5%4","South Dakota",2020-08-22,1,588.45,2038.55,1,0.025
"5%4","South Dakota",2020-08-22,1,668.45,1898.55,1,0.05
"10%4","South Dakota",2020-08-22,1,764.4,1715.5,0,0.1
"15%4","South Dakota",2020-08-22,1,829.5,1607.5,0,0.15
"20%4","South Dakota",2020-08-22,1,888.5,1513.5,0,0.2
"25%4","South Dakota",2020-08-22,1,936.5,1436.5,0,0.25
"30%4","South Dakota",2020-08-22,1,984.5,1375.5,0,0.3
"35%4","South Dakota",2020-08-22,1,1024.5,1322.5,0,0.35
"40%4","South Dakota",2020-08-22,1,1071.5,1267.5,0,0.4
"45%4","South Dakota",2020-08-22,1,1122.5,1218.5,0,0.45
"1%5","South Dakota",2020-08-22,2,345.5,3768.63,1,0.01
"2.5%5","South Dakota",2020-08-22,2,445.5,3219.55,1,0.025
"5%5","South Dakota",2020-08-22,2,542.4,2842.65,1,0.05
"10%5","South Dakota",2020-08-22,2,658.4,2472.7,1,0.1
"15%5","South Dakota",2020-08-22,2,760.5,2195.1,1,0.15
"20%5","South Dakota",2020-08-22,2,847.3,2012.9,1,0.2
"25%5","South Dakota",2020-08-22,2,928.5,1878.75,0,0.25
"30%5","South Dakota",2020-08-22,2,1013.5,1747.5,0,0.3
"35%5","South Dakota",2020-08-22,2,1096.5,1626.5,0,0.35
"40%5","South Dakota",2020-08-22,2,1179.5,1520.5,0,0.4
"45%5","South Dakota",2020-08-22,2,1264.5,1429.5,0,0.45
"1%6","South Dakota",2020-08-22,3,370.47,4945.56,1,0.01
"2.5%6","South Dakota",2020-08-22,3,448.5,4059.725,1,0.025
"5%6","South Dakota",2020-08-22,3,536.5,3590.55,1,0.05
"10%6","South Dakota",2020-08-22,3,684.5,3031.7,1,0.1
"15%6","South Dakota",2020-08-22,3,800.35,2712.65,1,0.15
"20%6","South Dakota",2020-08-22,3,907.3,2424.5,1,0.2
"25%6","South Dakota",2020-08-22,3,1007.5,2220.5,1,0.25
"30%6","South Dakota",2020-08-22,3,1107.5,2042.5,1,0.3
"35%6","South Dakota",2020-08-22,3,1211.5,1894.5,1,0.35
"40%6","South Dakota",2020-08-22,3,1305.5,1748.9,1,0.4
"45%6","South Dakota",2020-08-22,3,1409.05,1624.5,1,0.45
"1%7","South Dakota",2020-08-22,4,360.5,5133.61,1,0.01
"2.5%7","South Dakota",2020-08-22,4,446.5,4428.575,1,0.025
"5%7","South Dakota",2020-08-22,4,560.5,3834.5,1,0.05
"10%7","South Dakota",2020-08-22,4,715.4,3236.5,1,0.1
"15%7","South Dakota",2020-08-22,4,858.5,2894.5,1,0.15
"20%7","South Dakota",2020-08-22,4,978.5,2647.5,1,0.2
"25%7","South Dakota",2020-08-22,4,1094.5,2409.5,1,0.25
"30%7","South Dakota",2020-08-22,4,1206.6,2222.5,1,0.3
"35%7","South Dakota",2020-08-22,4,1315.5,2072.5,1,0.35
"40%7","South Dakota",2020-08-22,4,1434.5,1936.9,0,0.4
"45%7","South Dakota",2020-08-22,4,1543.05,1792.5,0,0.45
"1%8","South Dakota",2020-08-29,1,1110.92,4797.01,1,0.01
"2.5%8","South Dakota",2020-08-29,1,1256,4419.05,1,0.025
"5%8","South Dakota",2020-08-29,1,1414.95,4047.1,1,0.05
"10%8","South Dakota",2020-08-29,1,1613.9,3666,1,0.1
"15%8","South Dakota",2020-08-29,1,1756,3410,1,0.15
"20%8","South Dakota",2020-08-29,1,1879,3217.2,1,0.2
"25%8","South Dakota",2020-08-29,1,1985.75,3069,0,0.25
"30%8","South Dakota",2020-08-29,1,2086.7,2923.3,0,0.3
"35%8","South Dakota",2020-08-29,1,2191.65,2801.35,0,0.35
"40%8","South Dakota",2020-08-29,1,2277,2682,0,0.4
"45%8","South Dakota",2020-08-29,1,2378,2584,0,0.45
"1%9","South Dakota",2020-08-29,2,919.84,9042.36000000001,1,0.01
"2.5%9","South Dakota",2020-08-29,2,1116.975,7913.25,1,0.025
"5%9","South Dakota",2020-08-29,2,1348.95,7057.45,1,0.05
"10%9","South Dakota",2020-08-29,2,1660.9,6023,0,0.1
"15%9","South Dakota",2020-08-29,2,1939.85,5397.3,0,0.15
"20%9","South Dakota",2020-08-29,2,2140.8,4966,0,0.2
"25%9","South Dakota",2020-08-29,2,2337,4587,0,0.25
"30%9","South Dakota",2020-08-29,2,2533.1,4296.3,0,0.3
"35%9","South Dakota",2020-08-29,2,2741.65,4038.35,0,0.35
"40%9","South Dakota",2020-08-29,2,2947,3762.4,0,0.4
"45%9","South Dakota",2020-08-29,2,3134.55,3554,0,0.45
