"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","New Hampshire",2020-08-15,1,79,289,1,0.01
"2.5%","New Hampshire",2020-08-15,1,89,266,1,0.025
"5%","New Hampshire",2020-08-15,1,98,247,1,0.05
"10%","New Hampshire",2020-08-15,1,109,227,1,0.1
"15%","New Hampshire",2020-08-15,1,118,214,0,0.15
"20%","New Hampshire",2020-08-15,1,125,203,0,0.2
"25%","New Hampshire",2020-08-15,1,132,194,0,0.25
"30%","New Hampshire",2020-08-15,1,139,186,0,0.3
"35%","New Hampshire",2020-08-15,1,145,180,0,0.35
"40%","New Hampshire",2020-08-15,1,151,174,0,0.4
"45%","New Hampshire",2020-08-15,1,156,168,0,0.45
"1%1","New Hampshire",2020-08-15,2,59,347.02,1,0.01
"2.5%1","New Hampshire",2020-08-15,2,69.975,315.025,1,0.025
"5%1","New Hampshire",2020-08-15,2,81,285.05,1,0.05
"10%1","New Hampshire",2020-08-15,2,95,254,1,0.1
"15%1","New Hampshire",2020-08-15,2,106,235,1,0.15
"20%1","New Hampshire",2020-08-15,2,115,219,1,0.2
"25%1","New Hampshire",2020-08-15,2,125,207,1,0.25
"30%1","New Hampshire",2020-08-15,2,132,196.3,1,0.3
"35%1","New Hampshire",2020-08-15,2,140,187,1,0.35
"40%1","New Hampshire",2020-08-15,2,147,178,1,0.4
"45%1","New Hampshire",2020-08-15,2,154,170,0,0.45
"1%2","New Hampshire",2020-08-15,3,54,357,1,0.01
"2.5%2","New Hampshire",2020-08-15,3,65,320,1,0.025
"5%2","New Hampshire",2020-08-15,3,77,289.05,1,0.05
"10%2","New Hampshire",2020-08-15,3,93,254,1,0.1
"15%2","New Hampshire",2020-08-15,3,104,233,1,0.15
"20%2","New Hampshire",2020-08-15,3,113,219,1,0.2
"25%2","New Hampshire",2020-08-15,3,122,206,1,0.25
"30%2","New Hampshire",2020-08-15,3,130,196,1,0.3
"35%2","New Hampshire",2020-08-15,3,138,187,1,0.35
"40%2","New Hampshire",2020-08-15,3,145,178,1,0.4
"45%2","New Hampshire",2020-08-15,3,153,170,0,0.45
"1%3","New Hampshire",2020-08-15,4,50,402,1,0.01
"2.5%3","New Hampshire",2020-08-15,4,63,352,1,0.025
"5%3","New Hampshire",2020-08-15,4,74,312,1,0.05
"10%3","New Hampshire",2020-08-15,4,89,273,1,0.1
"15%3","New Hampshire",2020-08-15,4,100,246,1,0.15
"20%3","New Hampshire",2020-08-15,4,111,227,0,0.2
"25%3","New Hampshire",2020-08-15,4,120,212,0,0.25
"30%3","New Hampshire",2020-08-15,4,129,200,0,0.3
"35%3","New Hampshire",2020-08-15,4,137,190,0,0.35
"40%3","New Hampshire",2020-08-15,4,145,180,0,0.4
"45%3","New Hampshire",2020-08-15,4,153,171,0,0.45
"1%4","New Hampshire",2020-08-22,1,52.99,200,1,0.01
"2.5%4","New Hampshire",2020-08-22,1,60,186,1,0.025
"5%4","New Hampshire",2020-08-22,1,68,171,1,0.05
"10%4","New Hampshire",2020-08-22,1,77,156,1,0.1
"15%4","New Hampshire",2020-08-22,1,83,147,0,0.15
"20%4","New Hampshire",2020-08-22,1,87,140,0,0.2
"25%4","New Hampshire",2020-08-22,1,92,134,0,0.25
"30%4","New Hampshire",2020-08-22,1,96,129,0,0.3
"35%4","New Hampshire",2020-08-22,1,100,125,0,0.35
"40%4","New Hampshire",2020-08-22,1,104,120,0,0.4
"45%4","New Hampshire",2020-08-22,1,108,115,0,0.45
