"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Louisiana",2020-08-15,1,1629.49,21994.29,1,0.01
"2.5%","Louisiana",2020-08-15,1,1969.2,18361.875,1,0.025
"5%","Louisiana",2020-08-15,1,2364.35,15739.55,1,0.05
"10%","Louisiana",2020-08-15,1,2992.2,13453.1,1,0.1
"15%","Louisiana",2020-08-15,1,3473.35,11903.65,1,0.15
"20%","Louisiana",2020-08-15,1,3994.1,10814.7,1,0.2
"25%","Louisiana",2020-08-15,1,4456.25,9965,1,0.25
"30%","Louisiana",2020-08-15,1,4968.2,9120.6,1,0.3
"35%","Louisiana",2020-08-15,1,5400.5,8434.5,0,0.35
"40%","Louisiana",2020-08-15,1,5843.5,7854.3,0,0.4
"45%","Louisiana",2020-08-15,1,6266.5,7312.4,0,0.45
"1%1","Louisiana",2020-08-15,2,1729.5,25934,1,0.01
"2.5%1","Louisiana",2020-08-15,2,1810.475,21589.375,1,0.025
"5%1","Louisiana",2020-08-15,2,1955.1,17449.7,1,0.05
"10%1","Louisiana",2020-08-15,2,2255.4,13766.9,1,0.1
"15%1","Louisiana",2020-08-15,2,2561.05,11765.65,1,0.15
"20%1","Louisiana",2020-08-15,2,2871.3,10261.3,1,0.2
"25%1","Louisiana",2020-08-15,2,3202.25,9105.75,1,0.25
"30%1","Louisiana",2020-08-15,2,3558.6,8196.8,1,0.3
"35%1","Louisiana",2020-08-15,2,3978.15,7281.2,1,0.35
"40%1","Louisiana",2020-08-15,2,4383.7,6571.5,1,0.4
"45%1","Louisiana",2020-08-15,2,4886.05,5941.95,1,0.45
"1%2","Louisiana",2020-08-15,3,1280.5,20635.65,1,0.01
"2.5%2","Louisiana",2020-08-15,3,1331.5,17002.5,1,0.025
"5%2","Louisiana",2020-08-15,3,1440.3,13999,1,0.05
"10%2","Louisiana",2020-08-15,3,1674.4,10853.5,1,0.1
"15%2","Louisiana",2020-08-15,3,1926.35,9128.7,1,0.15
