"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","West Virginia",2020-08-15,1,369.98,1756.15,1,0.01
"2.5%","West Virginia",2020-08-15,1,431.975,1594,1,0.025
"5%","West Virginia",2020-08-15,1,488,1469.05,1,0.05
"10%","West Virginia",2020-08-15,1,555,1327.1,1,0.1
"15%","West Virginia",2020-08-15,1,612,1234,1,0.15
"20%","West Virginia",2020-08-15,1,652,1162,1,0.2
"25%","West Virginia",2020-08-15,1,694,1102,1,0.25
"30%","West Virginia",2020-08-15,1,732,1049,0,0.3
"35%","West Virginia",2020-08-15,1,773,1008,0,0.35
"40%","West Virginia",2020-08-15,1,807,964,0,0.4
"45%","West Virginia",2020-08-15,1,845,927,0,0.45
"1%1","West Virginia",2020-08-15,2,228.49,2411.53,1,0.01
"2.5%1","West Virginia",2020-08-15,2,279.475,2103.5,1,0.025
"5%1","West Virginia",2020-08-15,2,337.5,1847.7,1,0.05
"10%1","West Virginia",2020-08-15,2,415.5,1602.6,1,0.1
"15%1","West Virginia",2020-08-15,2,476.5,1430.5,1,0.15
"20%1","West Virginia",2020-08-15,2,537.5,1299.7,1,0.2
"25%1","West Virginia",2020-08-15,2,597.5,1198.75,1,0.25
"30%1","West Virginia",2020-08-15,2,654.5,1111.5,1,0.3
"35%1","West Virginia",2020-08-15,2,705.5,1042.85,1,0.35
"40%1","West Virginia",2020-08-15,2,753.1,977.5,1,0.4
"45%1","West Virginia",2020-08-15,2,807.5,920.5,0,0.45
"1%2","West Virginia",2020-08-15,3,187.49,3110.58,1,0.01
"2.5%2","West Virginia",2020-08-15,3,223.475,2542.675,1,0.025
"5%2","West Virginia",2020-08-15,3,275.4,2163.65,1,0.05
"10%2","West Virginia",2020-08-15,3,348.5,1793.6,1,0.1
"15%2","West Virginia",2020-08-15,3,415.35,1602.65,1,0.15
"20%2","West Virginia",2020-08-15,3,479.5,1431.5,1,0.2
"25%2","West Virginia",2020-08-15,3,540.5,1290.75,0,0.25
"30%2","West Virginia",2020-08-15,3,598.5,1188.5,0,0.3
"35%2","West Virginia",2020-08-15,3,659.5,1091.5,0,0.35
"40%2","West Virginia",2020-08-15,3,718.5,1009.5,0,0.4
"45%2","West Virginia",2020-08-15,3,779.5,923.95,0,0.45
"1%3","West Virginia",2020-08-15,4,236,3682.03,1,0.01
"2.5%3","West Virginia",2020-08-15,4,253,3048.1,1,0.025
"5%3","West Virginia",2020-08-15,4,282.95,2606.1,1,0.05
"10%3","West Virginia",2020-08-15,4,336,2087.1,1,0.1
"15%3","West Virginia",2020-08-15,4,396,1780.15,1,0.15
"20%3","West Virginia",2020-08-15,4,449,1561,1,0.2
"25%3","West Virginia",2020-08-15,4,511.75,1389.25,1,0.25
"30%3","West Virginia",2020-08-15,4,568,1243,1,0.3
"35%3","West Virginia",2020-08-15,4,634.65,1128,0,0.35
"40%3","West Virginia",2020-08-15,4,696,1025,0,0.4
"45%3","West Virginia",2020-08-15,4,760.55,929,0,0.45
"1%4","West Virginia",2020-08-22,1,302.490000005,1412.510000005,1,0.01
"2.5%4","West Virginia",2020-08-22,1,349.500000005,1274.525000005,1,0.025
"5%4","West Virginia",2020-08-22,1,393.450000005,1174.600000005,1,0.05
"10%4","West Virginia",2020-08-22,1,452.500000005,1048.500000005,1,0.1
"15%4","West Virginia",2020-08-22,1,496.500000005,980.500000005,1,0.15
"20%4","West Virginia",2020-08-22,1,529.500000005,925.500000005,1,0.2
"25%4","West Virginia",2020-08-22,1,559.500000005,880.500000005,1,0.25
"30%4","West Virginia",2020-08-22,1,592.200000005,841.800000005,1,0.3
"35%4","West Virginia",2020-08-22,1,621.500000005,805.500000005,1,0.35
"40%4","West Virginia",2020-08-22,1,650.500000005,772.500000005,0,0.4
"45%4","West Virginia",2020-08-22,1,677.050000005,736.950000005,0,0.45
"1%5","West Virginia",2020-08-22,2,184.960000005,1891.000000005,1,0.01
"2.5%5","West Virginia",2020-08-22,2,231.975000005,1683.000000005,1,0.025
"5%5","West Virginia",2020-08-22,2,277.000000005,1467.250000005,1,0.05
"10%5","West Virginia",2020-08-22,2,346.000000005,1269.100000005,0,0.1
"15%5","West Virginia",2020-08-22,2,394.000000005,1148.150000005,0,0.15
"20%5","West Virginia",2020-08-22,2,441.000000005,1056.200000005,0,0.2
"25%5","West Virginia",2020-08-22,2,483.000000005,970.000000005,0,0.25
"30%5","West Virginia",2020-08-22,2,524.000000005,903.000000005,0,0.3
"35%5","West Virginia",2020-08-22,2,563.650000005,842.350000005001,0,0.35
"40%5","West Virginia",2020-08-22,2,606.000000005,787.400000005,0,0.4
"45%5","West Virginia",2020-08-22,2,650.000000005,738.000000005,0,0.45
"1%6","West Virginia",2020-08-22,3,163.490000005,2490.550000005,1,0.01
"2.5%6","West Virginia",2020-08-22,3,196.500000005,2061.525000005,1,0.025
"5%6","West Virginia",2020-08-22,3,230.500000005,1792.550000005,1,0.05
"10%6","West Virginia",2020-08-22,3,292.500000005,1456.600000005,1,0.1
"15%6","West Virginia",2020-08-22,3,340.500000005,1283.500000005,1,0.15
"20%6","West Virginia",2020-08-22,3,386.500000005,1147.500000005,0,0.2
"25%6","West Virginia",2020-08-22,3,434.500000005,1036.500000005,0,0.25
"30%6","West Virginia",2020-08-22,3,479.500000005,941.500000005,0,0.3
"35%6","West Virginia",2020-08-22,3,526.150000005,866.500000005,0,0.35
"40%6","West Virginia",2020-08-22,3,568.500000005,791.500000005,0,0.4
"45%6","West Virginia",2020-08-22,3,619.500000005,737.500000005,0,0.45
