"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Mississippi",2020-08-15,1,1431.98,10913.19,1,0.01
"2.5%","Mississippi",2020-08-15,1,1701.925,9739.025,1,0.025
"5%","Mississippi",2020-08-15,1,2001,8638.1,1,0.05
"10%","Mississippi",2020-08-15,1,2413.8,7594.4,1,0.1
"15%","Mississippi",2020-08-15,1,2723,6882.3,1,0.15
"20%","Mississippi",2020-08-15,1,3010,6404.4,1,0.2
"25%","Mississippi",2020-08-15,1,3284.75,6019,1,0.25
"30%","Mississippi",2020-08-15,1,3540,5655,1,0.3
"35%","Mississippi",2020-08-15,1,3777,5346,0,0.35
"40%","Mississippi",2020-08-15,1,4021.8,5050.2,0,0.4
"45%","Mississippi",2020-08-15,1,4256.55,4749.45,0,0.45
"1%1","Mississippi",2020-08-15,2,1092.98,9763.25000000001,1,0.01
"2.5%1","Mississippi",2020-08-15,2,1297.85,8623.225,1,0.025
"5%1","Mississippi",2020-08-15,2,1544.9,7691.1,1,0.05
"10%1","Mississippi",2020-08-15,2,1883.9,6760.3,1,0.1
"15%1","Mississippi",2020-08-15,2,2168.7,6145.15,1,0.15
"20%1","Mississippi",2020-08-15,2,2421.8,5611.2,1,0.2
"25%1","Mississippi",2020-08-15,2,2662.75,5196.5,1,0.25
"30%1","Mississippi",2020-08-15,2,2879.7,4820.3,1,0.3
"35%1","Mississippi",2020-08-15,2,3081.65,4493.35,0,0.35
"40%1","Mississippi",2020-08-15,2,3300.6,4212.6,0,0.4
"45%1","Mississippi",2020-08-15,2,3508.55,3961,0,0.45
"1%2","Mississippi",2020-08-15,3,767.99,9164.08,1,0.01
"2.5%2","Mississippi",2020-08-15,3,990.875,7915.175,1,0.025
"5%2","Mississippi",2020-08-15,3,1191.9,6899.15,1,0.05
"10%2","Mississippi",2020-08-15,3,1495,5809.3,1,0.1
"15%2","Mississippi",2020-08-15,3,1714.7,5174.15,1,0.15
"20%2","Mississippi",2020-08-15,3,1918,4702.2,1,0.2
"25%2","Mississippi",2020-08-15,3,2119,4321,0,0.25
"30%2","Mississippi",2020-08-15,3,2314,4019.6,0,0.3
"35%2","Mississippi",2020-08-15,3,2512.65,3772.35,0,0.35
"40%2","Mississippi",2020-08-15,3,2708.6,3519,0,0.4
"45%2","Mississippi",2020-08-15,3,2899,3307.35,0,0.45
"1%3","Mississippi",2020-08-15,4,651.99,8290.36000000001,1,0.01
"2.5%3","Mississippi",2020-08-15,4,788,7089.025,1,0.025
"5%3","Mississippi",2020-08-15,4,943.9,6173.8,1,0.05
"10%3","Mississippi",2020-08-15,4,1183,5134.1,1,0.1
"15%3","Mississippi",2020-08-15,4,1370,4593.15,1,0.15
"20%3","Mississippi",2020-08-15,4,1542.8,4138.6,1,0.2
"25%3","Mississippi",2020-08-15,4,1706.25,3776.25,1,0.25
"30%3","Mississippi",2020-08-15,4,1882.7,3490,1,0.3
"35%3","Mississippi",2020-08-15,4,2044,3234.7,1,0.35
"40%3","Mississippi",2020-08-15,4,2228,2988,0,0.4
"45%3","Mississippi",2020-08-15,4,2395.55,2765.45,0,0.45
"1%4","Mississippi",2020-08-22,1,1769.44,12873.81,1,0.01
"2.5%4","Mississippi",2020-08-22,1,2089.5,11144.25,1,0.025
"5%4","Mississippi",2020-08-22,1,2454.35,10076.85,1,0.05
"10%4","Mississippi",2020-08-22,1,2927.5,8865.8,1,0.1
"15%4","Mississippi",2020-08-22,1,3304.35,8133.1,1,0.15
"20%4","Mississippi",2020-08-22,1,3636.3,7581.3,1,0.2
"25%4","Mississippi",2020-08-22,1,3940.25,7094.25,1,0.25
"30%4","Mississippi",2020-08-22,1,4205.2,6630.1,1,0.3
"35%4","Mississippi",2020-08-22,1,4497.8,6269.2,1,0.35
"40%4","Mississippi",2020-08-22,1,4768.5,5915.3,0,0.4
"45%4","Mississippi",2020-08-22,1,5044.6,5599.95,0,0.45
"1%5","Mississippi",2020-08-22,2,1318.49,13359.83,1,0.01
"2.5%5","Mississippi",2020-08-22,2,1575.5,11470.65,1,0.025
"5%5","Mississippi",2020-08-22,2,1946.3,10101.55,1,0.05
"10%5","Mississippi",2020-08-22,2,2439.4,8857.7,1,0.1
"15%5","Mississippi",2020-08-22,2,2843.5,8068.65,1,0.15
"20%5","Mississippi",2020-08-22,2,3180.7,7368.7,1,0.2
"25%5","Mississippi",2020-08-22,2,3461.5,6889.5,1,0.25
"30%5","Mississippi",2020-08-22,2,3759.2,6402.5,1,0.3
"35%5","Mississippi",2020-08-22,2,4094.15,6018.5,1,0.35
"40%5","Mississippi",2020-08-22,2,4402.3,5679.3,1,0.4
"45%5","Mississippi",2020-08-22,2,4705.6,5334.5,0,0.45
"1%6","Mississippi",2020-08-22,3,1168.47,14340.08,1,0.01
"2.5%6","Mississippi",2020-08-22,3,1496.45,12568.525,1,0.025
