"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Indiana",2020-08-15,1,1761.94,15862.81,1,0.01
"2.5%","Indiana",2020-08-15,1,2279.95,13864.575,1,0.025
"5%","Indiana",2020-08-15,1,2743.8,12495.6,1,0.05
"10%","Indiana",2020-08-15,1,3353.9,10828.1,1,0.1
"15%","Indiana",2020-08-15,1,3798,9902.45,1,0.15
"20%","Indiana",2020-08-15,1,4164.8,9136,1,0.2
"25%","Indiana",2020-08-15,1,4552,8521.25,1,0.25
"30%","Indiana",2020-08-15,1,4875,7983.6,1,0.3
"35%","Indiana",2020-08-15,1,5236,7498.35,1,0.35
"40%","Indiana",2020-08-15,1,5585,7086,1,0.4
"45%","Indiana",2020-08-15,1,5964.2,6684.9,0,0.45
"1%1","Indiana",2020-08-15,2,1469.44,19983.98,1,0.01
"2.5%1","Indiana",2020-08-15,2,1807.175,17226.825,1,0.025
"5%1","Indiana",2020-08-15,2,2197.05,14798.4,1,0.05
"10%1","Indiana",2020-08-15,2,2757.4,12384.9,1,0.1
"15%1","Indiana",2020-08-15,2,3199.35,10908.95,1,0.15
"20%1","Indiana",2020-08-15,2,3612.3,9925.1,1,0.2
"25%1","Indiana",2020-08-15,2,4034.25,8998.00000000001,1,0.25
"30%1","Indiana",2020-08-15,2,4444.5,8300.4,1,0.3
"35%1","Indiana",2020-08-15,2,4853.8,7689.5,1,0.35
"40%1","Indiana",2020-08-15,2,5277.7,7146.9,1,0.4
"45%1","Indiana",2020-08-15,2,5700.25,6636.85,0,0.45
"1%2","Indiana",2020-08-15,3,1296.39,19801.62,1,0.01
"2.5%2","Indiana",2020-08-15,3,1598.375,16144.55,1,0.025
"5%2","Indiana",2020-08-15,3,1934.45,14159.95,1,0.05
"10%2","Indiana",2020-08-15,3,2536.4,11825.6,1,0.1
"15%2","Indiana",2020-08-15,3,3002.2,10447.95,1,0.15
"20%2","Indiana",2020-08-15,3,3423.3,9464.1,1,0.2
"25%2","Indiana",2020-08-15,3,3818.25,8719.5,1,0.25
"30%2","Indiana",2020-08-15,3,4192.6,8032.1,1,0.3
"35%2","Indiana",2020-08-15,3,4607.15,7461.9,1,0.35
"40%2","Indiana",2020-08-15,3,5039.5,6924.5,1,0.4
"45%2","Indiana",2020-08-15,3,5445.05,6404.4,0,0.45
"1%3","Indiana",2020-08-15,4,1485.97,17785.92,1,0.01
"2.5%3","Indiana",2020-08-15,4,1780.975,15426.6,1,0.025
"5%3","Indiana",2020-08-15,4,2143,13337.15,1,0.05
"10%3","Indiana",2020-08-15,4,2637,11240.1,1,0.1
"15%3","Indiana",2020-08-15,4,3128.85,9946.15,1,0.15
"20%3","Indiana",2020-08-15,4,3558.8,8960.4,1,0.2
"25%3","Indiana",2020-08-15,4,3910,8179,1,0.25
"30%3","Indiana",2020-08-15,4,4271.7,7559.5,1,0.3
"35%3","Indiana",2020-08-15,4,4609.95,7073.7,1,0.35
"40%3","Indiana",2020-08-15,4,4979,6538,1,0.4
"45%3","Indiana",2020-08-15,4,5321.65,6085.35,1,0.45
"1%4","Indiana",2020-08-22,1,1719.41,13376.5,1,0.01
"2.5%4","Indiana",2020-08-22,1,2001.475,11761.55,1,0.025
"5%4","Indiana",2020-08-22,1,2387.5,10406.65,1,0.05
"10%4","Indiana",2020-08-22,1,2894.4,9171.6,1,0.1
"15%4","Indiana",2020-08-22,1,3314.05,8394.5,1,0.15
"20%4","Indiana",2020-08-22,1,3630.1,7816.1,1,0.2
"25%4","Indiana",2020-08-22,1,3960.5,7311,1,0.25
"30%4","Indiana",2020-08-22,1,4250.5,6851.1,0,0.3
"35%4","Indiana",2020-08-22,1,4500.5,6438.85,0,0.35
"40%4","Indiana",2020-08-22,1,4815.7,6079.9,0,0.4
"45%4","Indiana",2020-08-22,1,5138.5,5730.5,0,0.45
"1%5","Indiana",2020-08-22,2,1183.98,16368.92,1,0.01
"2.5%5","Indiana",2020-08-22,2,1453.925,14102.15,1,0.025
"5%5","Indiana",2020-08-22,2,1786.6,12450.7,1,0.05
"10%5","Indiana",2020-08-22,2,2259,10497.9,1,0.1
"15%5","Indiana",2020-08-22,2,2649.25,9198.3,1,0.15
"20%5","Indiana",2020-08-22,2,2995.8,8330,1,0.2
"25%5","Indiana",2020-08-22,2,3372,7589.5,1,0.25
"30%5","Indiana",2020-08-22,2,3731.8,6962.6,1,0.3
"35%5","Indiana",2020-08-22,2,4088.65,6502.7,0,0.35
"40%5","Indiana",2020-08-22,2,4453,6043.2,0,0.4
"45%5","Indiana",2020-08-22,2,4823.55,5610.45,0,0.45
"1%6","Indiana",2020-08-22,3,1221.83,16648.3,1,0.01
"2.5%6","Indiana",2020-08-22,3,1482.975,13690.05,1,0.025
"5%6","Indiana",2020-08-22,3,1797.95,12061.9,1,0.05
"10%6","Indiana",2020-08-22,3,2240.8,10138.5,1,0.1
"15%6","Indiana",2020-08-22,3,2608.85,8959.45,1,0.15
"20%6","Indiana",2020-08-22,3,2979.6,7983.4,1,0.2
"25%6","Indiana",2020-08-22,3,3325.5,7351.75,1,0.25
"30%6","Indiana",2020-08-22,3,3658.7,6787.5,1,0.3
"35%6","Indiana",2020-08-22,3,4023.3,6280.35,1,0.35
"40%6","Indiana",2020-08-22,3,4329.2,5841,1,0.4
"45%6","Indiana",2020-08-22,3,4673.55,5400.45,0,0.45
"1%7","Indiana",2020-08-22,4,1124.91,14996.52,1,0.01
"2.5%7","Indiana",2020-08-22,4,1389.975,12807.25,1,0.025
"5%7","Indiana",2020-08-22,4,1713.95,11202.25,1,0.05
"10%7","Indiana",2020-08-22,4,2206.9,9506.4,1,0.1
"15%7","Indiana",2020-08-22,4,2555.85,8482,1,0.15
"20%7","Indiana",2020-08-22,4,2889,7680.2,1,0.2
"25%7","Indiana",2020-08-22,4,3225,7087.25,1,0.25
"30%7","Indiana",2020-08-22,4,3521.8,6544.3,1,0.3
"35%7","Indiana",2020-08-22,4,3846.65,6079,0,0.35
"40%7","Indiana",2020-08-22,4,4165,5655.4,0,0.4
"45%7","Indiana",2020-08-22,4,4479.55,5223.25,0,0.45
"1%8","Indiana",2020-08-29,1,2231.42,18208.29,1,0.01
"2.5%8","Indiana",2020-08-29,1,2702.4,16381.625,1,0.025
"5%8","Indiana",2020-08-29,1,3251.45,14493.8,1,0.05
"10%8","Indiana",2020-08-29,1,3979.3,12697.4,1,0.1
"15%8","Indiana",2020-08-29,1,4557.05,11547.8,1,0.15
"20%8","Indiana",2020-08-29,1,5011.3,10656.1,1,0.2
"25%8","Indiana",2020-08-29,1,5475,10005.75,1,0.25
"30%8","Indiana",2020-08-29,1,5851.5,9429.4,1,0.3
"35%8","Indiana",2020-08-29,1,6258.45,8880.6,1,0.35
"40%8","Indiana",2020-08-29,1,6660.3,8354.9,0,0.4
"45%8","Indiana",2020-08-29,1,7085.7,7945.5,0,0.45
"1%9","Indiana",2020-08-29,2,1881.96,24219.43,1,0.01
"2.5%9","Indiana",2020-08-29,2,2394.875,21062.1,1,0.025
"5%9","Indiana",2020-08-29,2,2796.8,18366.05,1,0.05
"10%9","Indiana",2020-08-29,2,3488.2,15426.3,1,0.1
"15%9","Indiana",2020-08-29,2,4141.55,13671.45,1,0.15
"20%9","Indiana",2020-08-29,2,4637,12318.2,1,0.2
"25%9","Indiana",2020-08-29,2,5171,11404,1,0.25
"30%9","Indiana",2020-08-29,2,5675.7,10550.9,0,0.3
"35%9","Indiana",2020-08-29,2,6177,9778,0,0.35
"40%9","Indiana",2020-08-29,2,6737.8,9085.6,0,0.4
"45%9","Indiana",2020-08-29,2,7237.3,8407,0,0.45
"1%10","Indiana",2020-08-29,3,1849.94,25671.26,1,0.01
"2.5%10","Indiana",2020-08-29,3,2315.975,22036.35,1,0.025
"5%10","Indiana",2020-08-29,3,2856,18979.35,1,0.05
"10%10","Indiana",2020-08-29,3,3560.2,15877.8,1,0.1
"15%10","Indiana",2020-08-29,3,4167.4,14216,1,0.15
"20%10","Indiana",2020-08-29,3,4739.8,12863,1,0.2
"25%10","Indiana",2020-08-29,3,5274,11881.25,1,0.25
"30%10","Indiana",2020-08-29,3,5813,10991.3,1,0.3
"35%10","Indiana",2020-08-29,3,6344.95,10172.35,0,0.35
"40%10","Indiana",2020-08-29,3,6919.2,9459.2,0,0.4
"45%10","Indiana",2020-08-29,3,7530.1,8809.7,0,0.45
"1%11","Indiana",2020-08-29,4,2074.43,26236.74,1,0.01
"2.5%11","Indiana",2020-08-29,4,2584.45,21947.75,1,0.025
"5%11","Indiana",2020-08-29,4,3088.8,19274.15,1,0.05
"10%11","Indiana",2020-08-29,4,3908.1,16428.9,1,0.1
"15%11","Indiana",2020-08-29,4,4602.75,14764,1,0.15
"20%11","Indiana",2020-08-29,4,5216.3,13506.3,1,0.2
"25%11","Indiana",2020-08-29,4,5714.75,12299.75,1,0.25
"30%11","Indiana",2020-08-29,4,6259.9,11383.5,0,0.3
"35%11","Indiana",2020-08-29,4,6807.5,10593.85,0,0.35
"40%11","Indiana",2020-08-29,4,7329.9,9821.5,0,0.4
"45%11","Indiana",2020-08-29,4,7903.5,9158.95,0,0.45
"1%12","Indiana",2020-09-05,1,2135.4,16112.85,1,0.01
"2.5%12","Indiana",2020-09-05,1,2578.4,14290.7,1,0.025
"5%12","Indiana",2020-09-05,1,3050.35,12882.7,1,0.05
"10%12","Indiana",2020-09-05,1,3657.5,11186.6,1,0.1
"15%12","Indiana",2020-09-05,1,4133.5,10201.65,1,0.15
"20%12","Indiana",2020-09-05,1,4491.5,9433.9,1,0.2
"25%12","Indiana",2020-09-05,1,4870,8818.75,1,0.25
"30%12","Indiana",2020-09-05,1,5232.2,8238.4,1,0.3
"35%12","Indiana",2020-09-05,1,5562.15,7828.55,1,0.35
"40%12","Indiana",2020-09-05,1,5921.9,7411.3,0,0.4
"45%12","Indiana",2020-09-05,1,6292.5,7038.95,0,0.45
"1%13","Indiana",2020-09-05,2,1672.95,21375.53,1,0.01
"2.5%13","Indiana",2020-09-05,2,2087.925,18461.575,1,0.025
"5%13","Indiana",2020-09-05,2,2516,16010.35,1,0.05
"10%13","Indiana",2020-09-05,2,3085.8,13461.4,1,0.1
"15%13","Indiana",2020-09-05,2,3567.85,11962.45,1,0.15
"20%13","Indiana",2020-09-05,2,4021,10820.2,1,0.2
"25%13","Indiana",2020-09-05,2,4500.75,9914.25,1,0.25
"30%13","Indiana",2020-09-05,2,4919.4,9139.5,1,0.3
"35%13","Indiana",2020-09-05,2,5353.65,8448.45,1,0.35
"40%13","Indiana",2020-09-05,2,5757.6,7791.8,1,0.4
"45%13","Indiana",2020-09-05,2,6217.1,7235.9,0,0.45
"1%14","Indiana",2020-09-05,3,1584.46,21394.26,1,0.01
"2.5%14","Indiana",2020-09-05,3,1907.275,18135.65,1,0.025
