"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Kansas",2020-08-15,1,1423.5,6144.51,1,0.01
"2.5%","Kansas",2020-08-15,1,1664.475,5682.575,1,0.025
"5%","Kansas",2020-08-15,1,1893.4,5222.75,1,0.05
"10%","Kansas",2020-08-15,1,2135.5,4788.8,1,0.1
"15%","Kansas",2020-08-15,1,2332.35,4463.8,1,0.15
"20%","Kansas",2020-08-15,1,2496.1,4223.7,1,0.2
"25%","Kansas",2020-08-15,1,2662.5,4044.5,1,0.25
"30%","Kansas",2020-08-15,1,2790.5,3874.8,1,0.3
"35%","Kansas",2020-08-15,1,2917.15,3714.85,1,0.35
"40%","Kansas",2020-08-15,1,3034.5,3553.5,1,0.4
"45%","Kansas",2020-08-15,1,3151.5,3405.95,0,0.45
"1%1","Kansas",2020-08-15,2,789.97,9918.27000000001,1,0.01
"2.5%1","Kansas",2020-08-15,2,999.975,8520.54999999999,1,0.025
"5%1","Kansas",2020-08-15,2,1197,7563,1,0.05
"10%1","Kansas",2020-08-15,2,1481.8,6503,1,0.1
"15%1","Kansas",2020-08-15,2,1732.85,5745,1,0.15
"20%1","Kansas",2020-08-15,2,1954.8,5176.2,1,0.2
"25%1","Kansas",2020-08-15,2,2197.5,4794.25,1,0.25
"30%1","Kansas",2020-08-15,2,2406.7,4431.6,1,0.3
"35%1","Kansas",2020-08-15,2,2622,4125,0,0.35
"40%1","Kansas",2020-08-15,2,2839,3834.8,0,0.4
"45%1","Kansas",2020-08-15,2,3083.55,3587.8,0,0.45
"1%2","Kansas",2020-08-15,3,809.94,12884.32,1,0.01
"2.5%2","Kansas",2020-08-15,3,916.975,11028.2,1,0.025
"5%2","Kansas",2020-08-15,3,1091,9404.4,1,0.05
"10%2","Kansas",2020-08-15,3,1369.9,7685.2,1,0.1
"15%2","Kansas",2020-08-15,3,1588.85,6592.3,1,0.15
"20%2","Kansas",2020-08-15,3,1833.8,5846.4,1,0.2
"25%2","Kansas",2020-08-15,3,2077.75,5330.25,1,0.25
"30%2","Kansas",2020-08-15,3,2314.7,4798.6,1,0.3
