"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Vermont",2020-08-15,1,18.99999999,122.99999999,1,0.01
"2.5%","Vermont",2020-08-15,1,23.99999999,110.02499999,1,0.025
"5%","Vermont",2020-08-15,1,26.99999999,98.99999999,1,0.05
"10%","Vermont",2020-08-15,1,32.99999999,87.99999999,1,0.1
"15%","Vermont",2020-08-15,1,36.99999999,80.99999999,1,0.15
"20%","Vermont",2020-08-15,1,39.99999999,75.99999999,1,0.2
"25%","Vermont",2020-08-15,1,42.99999999,71.99999999,1,0.25
"30%","Vermont",2020-08-15,1,45.99999999,67.99999999,0,0.3
"35%","Vermont",2020-08-15,1,47.99999999,64.99999999,0,0.35
"40%","Vermont",2020-08-15,1,50.99999999,61.99999999,0,0.4
"45%","Vermont",2020-08-15,1,53.99999999,58.99999999,0,0.45
"1%1","Vermont",2020-08-15,2,12.99999999,154.99999999,1,0.01
"2.5%1","Vermont",2020-08-15,2,16.99999999,136.02499999,1,0.025
"5%1","Vermont",2020-08-15,2,20.99999999,119.99999999,1,0.05
"10%1","Vermont",2020-08-15,2,26.99999999,102.99999999,1,0.1
"15%1","Vermont",2020-08-15,2,30.99999999,92.99999999,1,0.15
"20%1","Vermont",2020-08-15,2,34.99999999,84.99999999,1,0.2
"25%1","Vermont",2020-08-15,2,38.99999999,77.99999999,1,0.25
"30%1","Vermont",2020-08-15,2,41.99999999,71.99999999,1,0.3
"35%1","Vermont",2020-08-15,2,44.99999999,67.99999999,1,0.35
"40%1","Vermont",2020-08-15,2,48.99999999,63.99999999,1,0.4
"45%1","Vermont",2020-08-15,2,51.99999999,59.99999999,1,0.45
"1%2","Vermont",2020-08-15,3,11.99999999,187.99999999,1,0.01
"2.5%2","Vermont",2020-08-15,3,15.99999999,157.99999999,1,0.025
"5%2","Vermont",2020-08-15,3,18.99999999,136.99999999,1,0.05
"10%2","Vermont",2020-08-15,3,23.99999999,114.09999999,1,0.1
"15%2","Vermont",2020-08-15,3,27.99999999,100.99999999,1,0.15
"20%2","Vermont",2020-08-15,3,31.99999999,90.99999999,1,0.2
"25%2","Vermont",2020-08-15,3,35.99999999,82.99999999,1,0.25
"30%2","Vermont",2020-08-15,3,39.99999999,76.99999999,1,0.3
"35%2","Vermont",2020-08-15,3,43.99999999,70.99999999,0,0.35
"40%2","Vermont",2020-08-15,3,48.99999999,65.99999999,0,0.4
"45%2","Vermont",2020-08-15,3,51.99999999,60.99999999,0,0.45
"1%3","Vermont",2020-08-15,4,12.99999999,201.99999999,1,0.01
"2.5%3","Vermont",2020-08-15,4,14.99999999,172.99999999,1,0.025
"5%3","Vermont",2020-08-15,4,17.99999999,146.99999999,1,0.05
"10%3","Vermont",2020-08-15,4,22.99999999,122.99999999,1,0.1
"15%3","Vermont",2020-08-15,4,27.99999999,106.99999999,1,0.15
"20%3","Vermont",2020-08-15,4,31.99999999,94.99999999,0,0.2
"25%3","Vermont",2020-08-15,4,35.99999999,84.99999999,0,0.25
"30%3","Vermont",2020-08-15,4,38.99999999,77.99999999,0,0.3
"35%3","Vermont",2020-08-15,4,42.99999999,71.99999999,0,0.35
"40%3","Vermont",2020-08-15,4,46.99999999,65.99999999,0,0.4
"45%3","Vermont",2020-08-15,4,50.99999999,60.99999999,0,0.45
"1%4","Vermont",2020-08-22,1,15,94,1,0.01
"2.5%4","Vermont",2020-08-22,1,18,87,1,0.025
"5%4","Vermont",2020-08-22,1,21,78,1,0.05
"10%4","Vermont",2020-08-22,1,26,69,1,0.1
"15%4","Vermont",2020-08-22,1,29,64,1,0.15
"20%4","Vermont",2020-08-22,1,31,60,1,0.2
"25%4","Vermont",2020-08-22,1,33,56,1,0.25
"30%4","Vermont",2020-08-22,1,36,53,1,0.3
"35%4","Vermont",2020-08-22,1,38,51,0,0.35
"40%4","Vermont",2020-08-22,1,39,48,0,0.4
"45%4","Vermont",2020-08-22,1,42,46,0,0.45
"1%5","Vermont",2020-08-22,2,11,121,1,0.01
"2.5%5","Vermont",2020-08-22,2,14,105,1,0.025
"5%5","Vermont",2020-08-22,2,17,93,1,0.05
"10%5","Vermont",2020-08-22,2,21,80,1,0.1
"15%5","Vermont",2020-08-22,2,25,72,1,0.15
"20%5","Vermont",2020-08-22,2,28,67,1,0.2
"25%5","Vermont",2020-08-22,2,31,62,1,0.25
"30%5","Vermont",2020-08-22,2,33,58,1,0.3
"35%5","Vermont",2020-08-22,2,36,54,1,0.35
"40%5","Vermont",2020-08-22,2,39,50,1,0.4
"45%5","Vermont",2020-08-22,2,42,47,0,0.45
"1%6","Vermont",2020-08-22,3,10,144,1,0.01
"2.5%6","Vermont",2020-08-22,3,12,126,1,0.025
"5%6","Vermont",2020-08-22,3,15,110.05,1,0.05
"10%6","Vermont",2020-08-22,3,19,92,1,0.1
"15%6","Vermont",2020-08-22,3,23,80,1,0.15
"20%6","Vermont",2020-08-22,3,26,72,1,0.2
"25%6","Vermont",2020-08-22,3,28,65,1,0.25
"30%6","Vermont",2020-08-22,3,31,60,0,0.3
"35%6","Vermont",2020-08-22,3,34,56,0,0.35
"40%6","Vermont",2020-08-22,3,37,51,0,0.4
"45%6","Vermont",2020-08-22,3,40,48,0,0.45
"1%7","Vermont",2020-08-22,4,9,162.01,1,0.01
"2.5%7","Vermont",2020-08-22,4,11,137,1,0.025
"5%7","Vermont",2020-08-22,4,13,117,1,0.05
"10%7","Vermont",2020-08-22,4,17,95,1,0.1
"15%7","Vermont",2020-08-22,4,20,84,1,0.15
"20%7","Vermont",2020-08-22,4,24,75,1,0.2
"25%7","Vermont",2020-08-22,4,27,68,1,0.25
"30%7","Vermont",2020-08-22,4,30,61,1,0.3
"35%7","Vermont",2020-08-22,4,33,56.3500000000008,0,0.35
"40%7","Vermont",2020-08-22,4,37,52,0,0.4
"45%7","Vermont",2020-08-22,4,40,48,0,0.45
"1%8","Vermont",2020-08-29,1,18,113,1,0.01
"2.5%8","Vermont",2020-08-29,1,22,103,1,0.025
"5%8","Vermont",2020-08-29,1,26,93,1,0.05
"10%8","Vermont",2020-08-29,1,31,83,1,0.1
"15%8","Vermont",2020-08-29,1,34,77,1,0.15
"20%8","Vermont",2020-08-29,1,37,72,1,0.2
