"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Virginia",2020-08-15,1,2894.46,11165.6,1,0.01
"2.5%","Virginia",2020-08-15,1,3349.425,10288.5,1,0.025
"5%","Virginia",2020-08-15,1,3701.5,9492.8,1,0.05
"10%","Virginia",2020-08-15,1,4141.5,8737.9,1,0.1
"15%","Virginia",2020-08-15,1,4495.9,8191.8,1,0.15
"20%","Virginia",2020-08-15,1,4799.5,7749.7,1,0.2
"25%","Virginia",2020-08-15,1,5045.25,7428,1,0.25
"30%","Virginia",2020-08-15,1,5294.5,7127.8,1,0.3
"35%","Virginia",2020-08-15,1,5504.5,6839.85,1,0.35
"40%","Virginia",2020-08-15,1,5721.1,6590.9,1,0.4
"45%","Virginia",2020-08-15,1,5912.5,6371.4,1,0.45
"1%1","Virginia",2020-08-15,2,1258.43,18495.52,1,0.01
"2.5%1","Virginia",2020-08-15,2,1569.45,16041.35,1,0.025
"5%1","Virginia",2020-08-15,2,1918.45,13759.25,1,0.05
"10%1","Virginia",2020-08-15,2,2461.4,11555.5,1,0.1
"15%1","Virginia",2020-08-15,2,2886.5,10219.5,1,0.15
"20%1","Virginia",2020-08-15,2,3327.5,9307.5,1,0.2
"25%1","Virginia",2020-08-15,2,3691.25,8458.75,1,0.25
"30%1","Virginia",2020-08-15,2,4093.2,7724.5,1,0.3
"35%1","Virginia",2020-08-15,2,4474.8,7160.2,1,0.35
"40%1","Virginia",2020-08-15,2,4871.7,6672.1,0,0.4
"45%1","Virginia",2020-08-15,2,5332.05,6187.4,0,0.45
"1%2","Virginia",2020-08-15,3,1429.46,24853.83,1,0.01
"2.5%2","Virginia",2020-08-15,3,1554.4,20077.45,1,0.025
"5%2","Virginia",2020-08-15,3,1726.45,16822.35,1,0.05
"10%2","Virginia",2020-08-15,3,2061.1,13301.5,1,0.1
"15%2","Virginia",2020-08-15,3,2411.5,11333.65,1,0.15
"20%2","Virginia",2020-08-15,3,2765.1,9924.5,1,0.2
"25%2","Virginia",2020-08-15,3,3123,8834.75,1,0.25
"30%2","Virginia",2020-08-15,3,3513.9,7977.7,1,0.3
"35%2","Virginia",2020-08-15,3,3959.15,7229.30000000001,1,0.35
"40%2","Virginia",2020-08-15,3,4436.1,6520.3,0,0.4
