"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","North Dakota",2020-08-15,1,416,1900.03,1,0.01
"2.5%","North Dakota",2020-08-15,1,481,1740.05,1,0.025
"5%","North Dakota",2020-08-15,1,545,1604,1,0.05
"10%","North Dakota",2020-08-15,1,614,1429,1,0.1
"15%","North Dakota",2020-08-15,1,671.85,1333,1,0.15
"20%","North Dakota",2020-08-15,1,717,1253,0,0.2
"25%","North Dakota",2020-08-15,1,758,1187,0,0.25
"30%","North Dakota",2020-08-15,1,797.7,1140,0,0.3
"35%","North Dakota",2020-08-15,1,842,1091,0,0.35
"40%","North Dakota",2020-08-15,1,883.6,1041,0,0.4
"45%","North Dakota",2020-08-15,1,920,1001,0,0.45
"1%1","North Dakota",2020-08-15,2,266.97,2376.03,1,0.01
"2.5%1","North Dakota",2020-08-15,2,330,2118,1,0.025
"5%1","North Dakota",2020-08-15,2,401,1885,1,0.05
"10%1","North Dakota",2020-08-15,2,488.9,1657,0,0.1
"15%1","North Dakota",2020-08-15,2,562.85,1501.15,0,0.15
"20%1","North Dakota",2020-08-15,2,633,1396,0,0.2
"25%1","North Dakota",2020-08-15,2,688,1300.25,0,0.25
"30%1","North Dakota",2020-08-15,2,745.7,1219,0,0.3
"35%1","North Dakota",2020-08-15,2,800.65,1148,0,0.35
"40%1","North Dakota",2020-08-15,2,853,1077,0,0.4
"45%1","North Dakota",2020-08-15,2,906,1017,0,0.45
"1%2","North Dakota",2020-08-15,3,233.5,3059.53,1,0.01
"2.5%2","North Dakota",2020-08-15,3,285.475,2656.65,1,0.025
"5%2","North Dakota",2020-08-15,3,344.5,2293.6,1,0.05
"10%2","North Dakota",2020-08-15,3,428.5,1949.6,1,0.1
"15%2","North Dakota",2020-08-15,3,501.5,1711.65,0,0.15
"20%2","North Dakota",2020-08-15,3,568.5,1546.5,0,0.2
"25%2","North Dakota",2020-08-15,3,630.25,1415.5,0,0.25
"30%2","North Dakota",2020-08-15,3,693.5,1305.5,0,0.3
"35%2","North Dakota",2020-08-15,3,758.15,1205.85,0,0.35
"40%2","North Dakota",2020-08-15,3,818.5,1113.5,0,0.4
"45%2","North Dakota",2020-08-15,3,884.5,1026.95,0,0.45
"1%3","North Dakota",2020-08-15,4,241.99,3755.06,1,0.01
"2.5%3","North Dakota",2020-08-15,4,270,3195.075,1,0.025
"5%3","North Dakota",2020-08-15,4,310,2684.25,1,0.05
"10%3","North Dakota",2020-08-15,4,379,2172,1,0.1
"15%3","North Dakota",2020-08-15,4,442.85,1838,0,0.15
"20%3","North Dakota",2020-08-15,4,507.8,1631,0,0.2
"25%3","North Dakota",2020-08-15,4,571,1463.25,0,0.25
"30%3","North Dakota",2020-08-15,4,637,1319.3,0,0.3
"35%3","North Dakota",2020-08-15,4,706,1204,0,0.35
"40%3","North Dakota",2020-08-15,4,782,1113,0,0.4
"45%3","North Dakota",2020-08-15,4,856,1016,0,0.45
"1%4","North Dakota",2020-08-22,1,619.98,2823.08,1,0.01
"2.5%4","North Dakota",2020-08-22,1,706.95,2571.025,1,0.025
"5%4","North Dakota",2020-08-22,1,812,2363,1,0.05
"10%4","North Dakota",2020-08-22,1,933,2134,1,0.1
"15%4","North Dakota",2020-08-22,1,1014,1999.15,1,0.15
"20%4","North Dakota",2020-08-22,1,1090,1880,1,0.2
"25%4","North Dakota",2020-08-22,1,1154.75,1783.5,0,0.25
"30%4","North Dakota",2020-08-22,1,1217,1708,0,0.3
"35%4","North Dakota",2020-08-22,1,1278.65,1644,0,0.35
"40%4","North Dakota",2020-08-22,1,1346,1581.4,0,0.4
"45%4","North Dakota",2020-08-22,1,1404,1512,0,0.45
"1%5","North Dakota",2020-08-22,2,483.43,4172.51,1,0.01
"2.5%5","North Dakota",2020-08-22,2,590.5,3680.675,1,0.025
"5%5","North Dakota",2020-08-22,2,708.45,3263.8,1,0.05
"10%5","North Dakota",2020-08-22,2,852.3,2842.7,1,0.1
"15%5","North Dakota",2020-08-22,2,968.35,2592.65,1,0.15
"20%5","North Dakota",2020-08-22,2,1072.5,2372.5,1,0.2
"25%5","North Dakota",2020-08-22,2,1176.5,2216.75,1,0.25
"30%5","North Dakota",2020-08-22,2,1265.5,2085.8,1,0.3
"35%5","North Dakota",2020-08-22,2,1357.15,1974.5,1,0.35
"40%5","North Dakota",2020-08-22,2,1451.1,1862.9,0,0.4
"45%5","North Dakota",2020-08-22,2,1555.5,1742.5,0,0.45
