"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Maryland",2020-08-15,1,1805.9,9640.46000000001,1,0.01
"2.5%","Maryland",2020-08-15,1,2093.8,8653.275,1,0.025
"5%","Maryland",2020-08-15,1,2430.95,7973,1,0.05
"10%","Maryland",2020-08-15,1,2809.9,7155.3,1,0.1
"15%","Maryland",2020-08-15,1,3112.85,6620.75,1,0.15
"20%","Maryland",2020-08-15,1,3392,6228.4,1,0.2
"25%","Maryland",2020-08-15,1,3626,5918.75,1,0.25
"30%","Maryland",2020-08-15,1,3857.7,5631,0,0.3
"35%","Maryland",2020-08-15,1,4076.65,5395,0,0.35
"40%","Maryland",2020-08-15,1,4284.6,5153.4,0,0.4
"45%","Maryland",2020-08-15,1,4504,4924,0,0.45
"1%1","Maryland",2020-08-15,2,1035.87,14155.08,1,0.01
"2.5%1","Maryland",2020-08-15,2,1273.95,11869.175,1,0.025
"5%1","Maryland",2020-08-15,2,1529,10273.9,1,0.05
"10%1","Maryland",2020-08-15,2,1941,8665.6,1,0.1
"15%1","Maryland",2020-08-15,2,2222.55,7638.15,1,0.15
"20%1","Maryland",2020-08-15,2,2522,6909.2,1,0.2
"25%1","Maryland",2020-08-15,2,2826,6331,1,0.25
"30%1","Maryland",2020-08-15,2,3112.4,5799.3,1,0.3
"35%1","Maryland",2020-08-15,2,3407.65,5363.75,1,0.35
"40%1","Maryland",2020-08-15,2,3682.6,4948.4,1,0.4
"45%1","Maryland",2020-08-15,2,3984.1,4635.8,0,0.45
"1%2","Maryland",2020-08-15,3,1155.97,18967.94,1,0.01
"2.5%2","Maryland",2020-08-15,3,1222.95,15446.5,1,0.025
"5%2","Maryland",2020-08-15,3,1320,13096.3,1,0.05
"10%2","Maryland",2020-08-15,3,1545,10412.1,1,0.1
"15%2","Maryland",2020-08-15,3,1770.85,8761.9,1,0.15
"20%2","Maryland",2020-08-15,3,2036.2,7620,1,0.2
"25%2","Maryland",2020-08-15,3,2292.5,6708.25,1,0.25
"30%2","Maryland",2020-08-15,3,2589.7,5995.3,1,0.3
"35%2","Maryland",2020-08-15,3,2889,5340,1,0.35
"40%2","Maryland",2020-08-15,3,3194.6,4818,1,0.4
"45%2","Maryland",2020-08-15,3,3547.55,4304.7,0,0.45
"1%3","Maryland",2020-08-15,4,1126,16900.02,1,0.01
"2.5%3","Maryland",2020-08-15,4,1187,13892.75,1,0.025
