"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Kentucky",2020-08-15,1,1735,8827.07,1,0.01
"2.5%","Kentucky",2020-08-15,1,1988.95,7991.67499999999,1,0.025
"5%","Kentucky",2020-08-15,1,2257.85,7157,1,0.05
"10%","Kentucky",2020-08-15,1,2603.9,6498.1,1,0.1
"15%","Kentucky",2020-08-15,1,2862.85,6020,1,0.15
"20%","Kentucky",2020-08-15,1,3072,5621.4,1,0.2
"25%","Kentucky",2020-08-15,1,3267.75,5272,1,0.25
"30%","Kentucky",2020-08-15,1,3477,5045.3,1,0.3
"35%","Kentucky",2020-08-15,1,3674.65,4823.35,1,0.35
"40%","Kentucky",2020-08-15,1,3845.6,4624.8,1,0.4
"45%","Kentucky",2020-08-15,1,4037.1,4411,1,0.45
"1%1","Kentucky",2020-08-15,2,1304.49,9314.59,1,0.01
"2.5%1","Kentucky",2020-08-15,2,1583.45,8341.575,1,0.025
"5%1","Kentucky",2020-08-15,2,1854.45,7528.5,1,0.05
"10%1","Kentucky",2020-08-15,2,2240.5,6598.1,1,0.1
"15%1","Kentucky",2020-08-15,2,2523.5,6050.95,1,0.15
"20%1","Kentucky",2020-08-15,2,2771.1,5627.5,1,0.2
"25%1","Kentucky",2020-08-15,2,2987.25,5279.5,1,0.25
"30%1","Kentucky",2020-08-15,2,3191.9,5001.8,1,0.3
"35%1","Kentucky",2020-08-15,2,3388.5,4727.5,1,0.35
"40%1","Kentucky",2020-08-15,2,3593.5,4480.5,0,0.4
"45%1","Kentucky",2020-08-15,2,3821.5,4261.5,0,0.45
"1%2","Kentucky",2020-08-15,3,1066.92,10541.19,1,0.01
"2.5%2","Kentucky",2020-08-15,3,1330.975,9160.67499999999,1,0.025
"5%2","Kentucky",2020-08-15,3,1568,8139.05,1,0.05
"10%2","Kentucky",2020-08-15,3,1941.9,6991.1,1,0.1
"15%2","Kentucky",2020-08-15,3,2235.85,6269,1,0.15
"20%2","Kentucky",2020-08-15,3,2484,5708,1,0.2
"25%2","Kentucky",2020-08-15,3,2727.5,5290,1,0.25
"30%2","Kentucky",2020-08-15,3,2947,4986.9,1,0.3
"35%2","Kentucky",2020-08-15,3,3163.6,4691.35,0,0.35
"40%2","Kentucky",2020-08-15,3,3377.6,4390.8,0,0.4
"45%2","Kentucky",2020-08-15,3,3596,4106,0,0.45
"1%3","Kentucky",2020-08-15,4,861.47,11182.54,1,0.01
