"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Minnesota",2020-08-15,1,2241.94,6810.05,1,0.01
"2.5%","Minnesota",2020-08-15,1,2500.95,6340.075,1,0.025
"5%","Minnesota",2020-08-15,1,2714,5942.05,1,0.05
"10%","Minnesota",2020-08-15,1,2989,5520,1,0.1
"15%","Minnesota",2020-08-15,1,3176.85,5215.45,1,0.15
"20%","Minnesota",2020-08-15,1,3330,4969.2,1,0.2
"25%","Minnesota",2020-08-15,1,3468,4770.5,1,0.25
"30%","Minnesota",2020-08-15,1,3598,4621,1,0.3
"35%","Minnesota",2020-08-15,1,3724,4472,1,0.35
"40%","Minnesota",2020-08-15,1,3843,4340.4,0,0.4
"45%","Minnesota",2020-08-15,1,3975,4219,0,0.45
"1%1","Minnesota",2020-08-15,2,1245.47,8703.62,1,0.01
"2.5%1","Minnesota",2020-08-15,2,1543.425,7790.8,1,0.025
"5%1","Minnesota",2020-08-15,2,1813.45,7159.55,1,0.05
"10%1","Minnesota",2020-08-15,2,2171.5,6374.5,1,0.1
"15%1","Minnesota",2020-08-15,2,2446.5,5819.95,1,0.15
"20%1","Minnesota",2020-08-15,2,2675.3,5441.5,1,0.2
"25%1","Minnesota",2020-08-15,2,2897.25,5074.5,0,0.25
"30%1","Minnesota",2020-08-15,2,3099.5,4770.1,0,0.3
"35%1","Minnesota",2020-08-15,2,3282.15,4529.5,0,0.35
"40%1","Minnesota",2020-08-15,2,3487.1,4300.3,0,0.4
"45%1","Minnesota",2020-08-15,2,3688.6,4099.5,0,0.45
"1%2","Minnesota",2020-08-15,3,911.48,11599.87,1,0.01
"2.5%2","Minnesota",2020-08-15,3,1130.45,9992.24999999999,1,0.025
"5%2","Minnesota",2020-08-15,3,1345.45,8660.9,1,0.05
"10%2","Minnesota",2020-08-15,3,1719.4,7357.7,1,0.1
"15%2","Minnesota",2020-08-15,3,1969.35,6482.5,1,0.15
"20%2","Minnesota",2020-08-15,3,2221.3,5834.9,1,0.2
"25%2","Minnesota",2020-08-15,3,2469.5,5332.25,0,0.25
"30%2","Minnesota",2020-08-15,3,2696.2,4960.5,0,0.3
"35%2","Minnesota",2020-08-15,3,2943.5,4591.5,0,0.35
"40%2","Minnesota",2020-08-15,3,3197.5,4273.5,0,0.4
"45%2","Minnesota",2020-08-15,3,3456.5,3979.95,0,0.45
"1%3","Minnesota",2020-08-15,4,808.99,13057.7,1,0.01
"2.5%3","Minnesota",2020-08-15,4,956.975,11215.525,1,0.025
"5%3","Minnesota",2020-08-15,4,1139.9,9433.35000000001,1,0.05
"10%3","Minnesota",2020-08-15,4,1402,7852.1,1,0.1
"15%3","Minnesota",2020-08-15,4,1651.85,6807.45,1,0.15
"20%3","Minnesota",2020-08-15,4,1938,6052.2,1,0.2
"25%3","Minnesota",2020-08-15,4,2162,5486.25,1,0.25
"30%3","Minnesota",2020-08-15,4,2394.7,4991,1,0.3
"35%3","Minnesota",2020-08-15,4,2684,4530.75,1,0.35
"40%3","Minnesota",2020-08-15,4,2979.6,4176.8,1,0.4
"45%3","Minnesota",2020-08-15,4,3272,3840.45,1,0.45
"1%4","Minnesota",2020-08-22,1,2432.96,7019.1,1,0.01
"2.5%4","Minnesota",2020-08-22,1,2660.775,6575.025,1,0.025
"5%4","Minnesota",2020-08-22,1,2896.8,6204.1,1,0.05
"10%4","Minnesota",2020-08-22,1,3165,5735,1,0.1
"15%4","Minnesota",2020-08-22,1,3354,5437,1,0.15
"20%4","Minnesota",2020-08-22,1,3519,5206.4,0,0.2
"25%4","Minnesota",2020-08-22,1,3673.75,5022.5,0,0.25
"30%4","Minnesota",2020-08-22,1,3822,4871,0,0.3
"35%4","Minnesota",2020-08-22,1,3942,4731.7,0,0.35
"40%4","Minnesota",2020-08-22,1,4067,4591,0,0.4
"45%4","Minnesota",2020-08-22,1,4193,4453,0,0.45
"1%5","Minnesota",2020-08-22,2,1434.46,9897.55,1,0.01
"2.5%5","Minnesota",2020-08-22,2,1723.425,8599.55,1,0.025
"5%5","Minnesota",2020-08-22,2,2048.3,7804.05,1,0.05
"10%5","Minnesota",2020-08-22,2,2409.5,6856.7,1,0.1
"15%5","Minnesota",2020-08-22,2,2680.35,6271.5,1,0.15
"20%5","Minnesota",2020-08-22,2,2937.3,5846.9,1,0.2
"25%5","Minnesota",2020-08-22,2,3157.5,5484.75,0,0.25
"30%5","Minnesota",2020-08-22,2,3378.9,5188.5,0,0.3
"35%5","Minnesota",2020-08-22,2,3579.15,4942.2,0,0.35
"40%5","Minnesota",2020-08-22,2,3775.5,4692.7,0,0.4
"45%5","Minnesota",2020-08-22,2,3991.6,4431.95,0,0.45
"1%6","Minnesota",2020-08-22,3,1015.36,12713.54,1,0.01
"2.5%6","Minnesota",2020-08-22,3,1260.475,11071.725,1,0.025
"5%6","Minnesota",2020-08-22,3,1506.5,9672.8,1,0.05
"10%6","Minnesota",2020-08-22,3,1940.4,8075.6,1,0.1
"15%6","Minnesota",2020-08-22,3,2256.2,7225.8,1,0.15
"20%6","Minnesota",2020-08-22,3,2550.9,6512.1,1,0.2
"25%6","Minnesota",2020-08-22,3,2811.5,5958.75,1,0.25
"30%6","Minnesota",2020-08-22,3,3059.2,5476.8,1,0.3
"35%6","Minnesota",2020-08-22,3,3310.5,5075.85,1,0.35
"40%6","Minnesota",2020-08-22,3,3571.5,4727.3,1,0.4
"45%6","Minnesota",2020-08-22,3,3838.05,4415.95,0,0.45
"1%7","Minnesota",2020-08-22,4,750.5,14327.38,1,0.01
"2.5%7","Minnesota",2020-08-22,4,952.35,12255.775,1,0.025
"5%7","Minnesota",2020-08-22,4,1182.5,10639.2,1,0.05
"10%7","Minnesota",2020-08-22,4,1569.4,8688.8,1,0.1
"15%7","Minnesota",2020-08-22,4,1859.5,7677.1,1,0.15
"20%7","Minnesota",2020-08-22,4,2157.3,6856.9,1,0.2
"25%7","Minnesota",2020-08-22,4,2427.5,6215.5,1,0.25
"30%7","Minnesota",2020-08-22,4,2756.2,5746.7,1,0.3
"35%7","Minnesota",2020-08-22,4,3053.45,5239.85,1,0.35
"40%7","Minnesota",2020-08-22,4,3399.5,4816.9,0,0.4
"45%7","Minnesota",2020-08-22,4,3724,4408.3,0,0.45
"1%8","Minnesota",2020-08-29,1,3089.97,8904.12,1,0.01
"2.5%8","Minnesota",2020-08-29,1,3364,8309.05,1,0.025
"5%8","Minnesota",2020-08-29,1,3645,7848.15,1,0.05
"10%8","Minnesota",2020-08-29,1,4019.9,7257.1,1,0.1
"15%8","Minnesota",2020-08-29,1,4265.7,6898.15,1,0.15
"20%8","Minnesota",2020-08-29,1,4506,6607.2,1,0.2
"25%8","Minnesota",2020-08-29,1,4657,6369.5,1,0.25
"30%8","Minnesota",2020-08-29,1,4823.7,6137.6,1,0.3
"35%8","Minnesota",2020-08-29,1,4995,5966,1,0.35
"40%8","Minnesota",2020-08-29,1,5138,5800.4,1,0.4
"45%8","Minnesota",2020-08-29,1,5297,5636,1,0.45
"1%9","Minnesota",2020-08-29,2,1824.25,12510.11,1,0.01
