"","computational_time_error","taylor_time_error","fullode_time_error","partialode_time_error","computational_value_error","taylor_value_error","fullode_value_error","partialode_value_error","computational_time","taylor_time","fullode_time","partialode_time"
"1",0,2,0,0,0.000172268281455557,5.49466958196243e-05,0.000850688650489428,0.000170415725283979,0.664,0.0309999999999999,0.104,0.384
"2",0,2,0,0,2.56215941734084e-05,1.83191292538742e-05,0.000322635432134732,2.56215941734084e-05,0.462,0.032,0.0529999999999999,0.271
"3",0,5,0,0,3.66529200168664e-06,1.18543999203524e-05,1.417228574907e-05,3.66529200168664e-06,0.765,0.028,0.079,0.396
"4",0,0,0,0,4.34278567885693e-05,2.15489438191163e-05,5.71115931632393e-05,4.34278567885693e-05,0.623,0.032,0.0639999999999998,0.361
"5",0,4,0,0,0.000227529000326077,4.39909485162593e-05,0.000634303479248643,0.000221897303794627,0.766,0.026,0.112,0.435
"6",0,4,0,0,2.91535770730045e-05,6.03915794805676e-06,0.000125393995781931,3.25395174315402e-05,0.546,0.03,0.0670000000000002,0.277
"7",0,1,0,0,0.000105786059137358,6.41680795196997e-05,0.000355351835123918,0.000105786059137358,0.609,0.032,0.083,0.331
"8",0,3,0,0,5.0048253286139e-06,1.84788732566776e-05,0.000330132856519061,5.0048253286139e-06,0.954,0.0249999999999999,0.168,0.591
"9",0,6,0,0,8.20791655187225e-06,1.12596713068847e-05,3.26387511602189e-05,8.20791655187225e-06,0.356,0.0249999999999999,0.0650000000000001,0.198
"10",0,5,0,0,0.000446344678999844,4.90204348292389e-05,0.00187545090893904,0.000447804945856611,0.683,0.0249999999999999,0.316,0.37
"11",0,2,0,0,0.00021759420211287,0.000149184979490347,0.00107496812496721,0.000233593295835721,0.646,0.00199999999999978,0.0989999999999998,0.406
"12",0,3,0,0,0.000454659071524977,9.59966287203962e-05,0.000637902418730185,0.000464891138099666,0.685,0.00200000000000022,0.116,0.428
"13",0,3,0,0,0.000189171317925729,0.000115592105644047,0.000518489483887108,0.000189171317925729,0.792,0.004,0.0939999999999999,0.463
"14",0,4,0,0,0.00109199354156386,0.000228462119773898,0.000203786111661497,0.00109131297690723,0.621,0.00099999999999989,0.249,0.295
"15",0,3,0,0,2.26863971156677e-05,9.03344711322696e-06,0.000163929406177044,2.56221113762445e-05,0.325,0.002,0.0469999999999999,0.165
"16",0,2,0,0,3.34294113502054e-08,4.68365254802094e-06,0.000377848032193429,3.34294113502054e-08,0.608,0.00099999999999989,0.104,0.31
"17",0,3,0,0,7.5693137434496e-05,2.67793990246235e-05,0.00087035327772178,7.5693137434496e-05,0.583,0.00300000000000011,0.116,0.335
"18",0,1,0,0,3.48425987560796e-05,9.66718114669973e-06,0.000187109614354974,3.68982420447805e-05,0.758,0.004,0.0579999999999998,0.466
"19",0,6,0,0,1.58022169394201e-05,6.07182904321935e-06,4.43760996837739e-08,1.53957456349163e-05,0.368,0.00199999999999978,0.142,0.211
"20",0,2,0,0,9.51777067873527e-05,2.88726291115537e-05,1.34703841701e-05,9.51777067873527e-05,0.617,0.00199999999999978,0.117,0.327
"21",0,1,0,0,0.000129973632338021,2.14454246932894e-05,0.000453677145776377,0.000119730642563987,0.759,0.00200000000000022,0.0670000000000002,0.33
"22",0,6,0,0,3.7506764749673e-05,2.18230504822614e-05,0.00382983910328649,3.7506764749673e-05,0.705,0.00300000000000011,0.147,0.29
"23",0,5,0,0,1.2218780222506e-05,1.12209847636935e-05,8.64565585789734e-09,1.11398759929937e-05,0.41,0.00300000000000011,0.127,0.208
"24",0,5,0,0,7.80486735185715e-06,1.82889205535552e-06,4.64468100114246e-06,7.72856509911879e-06,0.748,0.00599999999999978,0.0859999999999999,0.407
"25",0,2,0,0,3.21716019835439e-05,3.10783728685315e-05,0.000100090507842321,2.78708523424598e-05,0.327,0.00300000000000011,0.0379999999999998,0.156
"26",0,2,0,0,1.96225194903921e-05,5.27487068480159e-06,0.00110767367446574,1.96225194903921e-05,0.616,0.00499999999999989,0.097,0.302
"27",0,6,0,0,1.63643206594344e-05,1.79102120504426e-05,7.26048282606584e-08,1.61695221334579e-05,0.332,0.004,0.0880000000000001,0.168
"28",0,5,0,0,8.00516161303388e-06,8.12212622569586e-06,1.10827222510324e-07,7.76880776176547e-06,0.383,0.00200000000000022,0.073,0.188
"29",0,4,0,0,9.10858229569156e-05,2.24893859918085e-05,9.34293298404665e-05,8.62033625551595e-05,0.554,0.00199999999999978,0.119,0.274
"30",0,3,0,0,0.0013696430302419,0.000620850178354115,0.000310020465265959,0.00136670143039441,0.67,0.00199999999999978,0.165,0.363
"31",0,5,0,0,2.32957091775843e-05,9.52234466766733e-06,2.4061812786691e-05,2.16784433495487e-05,0.333,0.00199999999999978,0.0590000000000002,0.17
"32",0,5,0,0,1.48898427118072e-05,1.30485217227916e-05,3.52364013522788e-05,1.36986972852915e-05,0.591,0.00099999999999989,0.0430000000000001,0.303999999999999
