Time,Cases,NumSeq
0.0192,450,NA
0.0384,439,NA
0.0575,426,NA
0.0767,396,NA
0.0959,412,NA
0.1151,379,NA
0.1342,359,NA
0.1534,368,2
0.1726,374,6
0.1918,383,13
0.211,366,11
0.2301,373,5
0.2493,332,15
0.2685,342,11
0.2877,333,9
0.3068,278,4
0.326,288,3
0.3452,311,5
0.3644,315,7
0.3836,290,7
0.4027,284,8
0.4219,283,2
0.4411,274,9
0.4603,255,4
0.4795,268,5
0.4986,272,8
0.5178,238,2
0.537,262,6
0.5562,250,4
0.5753,269,3
0.5945,256,5
0.6137,281,2
0.6329,261,13
0.6521,242,5
0.6712,242,4
0.6904,261,6
0.7096,244,8
0.7288,271,7
0.7479,240,7
0.7671,254,8
0.7863,259,5
0.8055,237,11
0.8247,243,7
0.8438,263,4
0.863,248,7
0.8822,263,6
0.9014,291,6
0.9205,282,4
0.9397,279,8
0.9589,259,7
0.9781,260,8
0.9973,255,5
1.0164,280,7
1.0356,252,3
1.0548,263,11
1.074,258,8
1.0932,227,5
1.1123,271,8
1.1315,243,5
1.1507,261,7
1.1699,263,6
1.189,254,8
1.2082,272,8
1.2274,237,7
1.2466,260,6
1.2658,262,1
1.2849,251,16
1.3041,280,9
1.3233,244,7
1.3425,229,6
1.3616,238,4
1.3808,258,3
1.4,252,9
1.4192,250,3
1.4384,245,7
1.4575,251,10
1.4767,245,5
1.4959,229,6
1.5151,243,8
1.5342,261,3
1.5534,264,9
1.5726,275,6
1.5918,254,10
1.611,237,6
1.6301,249,6
1.6493,243,4
1.6685,251,6
1.6877,255,5
1.7068,257,8
1.726,263,5
1.7452,234,5
1.7644,262,6
1.7836,248,2
1.8027,265,5
1.8219,277,8
1.8411,276,16
1.8603,267,7
1.8795,261,5
1.8986,250,7
1.9178,267,3
1.937,257,9
1.9562,273,12
1.9753,267,9
1.9945,256,6
2.0137,260,5
2.0329,279,5
2.0521,257,9
2.0712,250,5
2.0904,262,7
2.1096,263,7
2.1288,249,1
2.1479,242,4
2.1671,257,8
2.1863,255,5
2.2055,267,5
2.2247,271,6
2.2438,255,9
2.263,260,11
2.2822,262,4
2.3014,267,12
2.3205,279,9
2.3397,256,1
2.3589,249,4
2.3781,261,6
2.3973,263,8
2.4164,260,10
2.4356,244,2
2.4548,255,7
2.474,258,5
2.4932,249,3
2.5123,269,12
2.5315,255,5
2.5507,251,9
2.5699,272,4
2.589,254,6
2.6082,251,6
2.6274,216,5
2.6466,252,3
2.6658,243,2
2.6849,241,6
2.7041,271,6
2.7233,272,3
2.7425,273,5
2.7616,261,7
2.7808,244,3
2.8,254,4
2.8192,256,6
2.8384,252,7
2.8575,278,10
2.8767,291,4
2.8959,268,5
2.9151,268,6
2.9342,266,9
2.9534,264,4
2.9726,283,10
2.9918,249,4
3.011,264,6
3.0301,262,7
3.0493,268,6
3.0685,254,5
3.0877,262,4
3.1068,253,6
3.126,244,9
3.1452,261,7
3.1644,262,8
3.1836,266,3
3.2027,276,6
3.2219,265,8
3.2411,306,7
3.2603,274,7
3.2795,284,7
3.2986,284,8
3.3178,240,6
3.337,262,5
3.3562,242,5
3.3753,261,10
3.3945,268,5
3.4137,271,4
3.4329,256,3
3.4521,245,4
3.4712,272,6
3.4904,261,6
3.5096,247,6
3.5288,249,7
3.5479,249,9
3.5671,252,4
3.5863,274,2
3.6055,244,5
3.6247,265,4
3.6438,255,5
3.663,268,3
3.6822,260,11
3.7014,257,7
3.7205,252,6
3.7397,270,8
3.7589,270,6
3.7781,245,8
3.7973,260,4
3.8164,263,11
3.8356,244,2
3.8548,252,3
3.874,254,5
3.8932,263,10
3.9123,250,6
3.9315,266,5
3.9507,269,6
3.9699,249,8
3.989,238,8
4.0082,280,15
4.0274,261,4
4.0466,267,4
4.0658,253,3
4.0849,293,4
4.1041,261,11
4.1233,261,6
4.1425,279,9
4.1616,276,6
4.1808,260,5
4.2,274,2
4.2192,268,9
4.2384,264,8
4.2575,245,6
4.2767,255,7
4.2959,258,8
4.3151,268,9
4.3342,251,4
4.3534,240,6
4.3726,248,3
4.3918,266,6
4.411,277,12
4.4301,249,11
4.4493,251,4
4.4685,256,6
4.4877,259,10
4.5068,271,5
4.526,257,5
4.5452,255,6
4.5644,255,5
4.5836,272,6
4.6027,249,4
4.6219,265,6
4.6411,303,5
4.6603,278,11
4.6795,277,12
4.6986,288,6
4.7178,258,9
4.737,251,3
4.7562,267,6
4.7753,255,4
4.7945,275,4
4.8137,284,9
4.8329,264,8
4.8521,269,4
4.8712,296,12
4.8904,277,12
4.9096,270,3
4.9288,276,4
4.9479,271,8
4.9671,261,8
4.9863,272,8
5.0055,255,6
5.0247,276,7
5.0438,275,6
5.063,263,7
5.0822,267,8
5.1014,271,7
5.1205,257,4
5.1397,268,6
5.1589,262,7
5.1781,288,5
5.1973,250,4
5.2164,301,6
5.2356,277,6
5.2548,253,11
5.274,283,8
5.2932,267,8
5.3123,275,3
5.3315,284,7
5.3507,284,8
5.3699,259,8
5.389,260,3
5.4082,256,3
5.4274,281,8
5.4466,268,5
5.4658,266,10
5.4849,269,6
5.5041,251,6
5.5233,274,6
5.5425,270,6
5.5616,250,7
5.5808,254,2
5.6,276,10
5.6192,322,12
5.6384,271,8
5.6575,253,4
5.6767,271,2
5.6959,263,4
5.7151,260,6
5.7342,263,6
5.7534,271,6
5.7726,258,8
5.7918,256,8
5.811,284,3
